date,value
1569888000,58.85
1569888318,59.50921
1569888631,58.599918
1569888932,58.553765
1569889233,58.572021
1569889535,58.586224
1569889837,58.599564
1569890139,58.612898
1569890440,58.62624
1569890742,58.639581
1569891044,58.652923
1569891345,58.666265
1569891653,58.679483
1569892003,58.687503
1569892548,58.699489
1569893854,58.729534
1569895160,58.759188
1569896250,58.814601
1569898350,58.925951
1569898800,58.95003
1569902067,59.091886
1569902400,59.10631
1569906000,59.115086
1569906987,59.087547
1569907683,59.069051
1569909299,59.023726
1569909600,59.015108
1569910084,58.996507
1569911054,58.95774
1569913200,58.871475
1569916800,58.501272
1569920400,57.92206
1569920724,57.900346
1569921372,57.868293
1569923560,57.755581
1569924000,57.732319
1569926188,57.631565
1569927600,57.566805
1569928680,57.450039
1569930840,57.20983
1569931200,57.169251
1569931783,57.161073
1569932614,57.156723
1569933445,57.146193
1569934698,57.136727
1569935447,57.179167
1569936743,57.274793
1569938400,57.395361
1569940185,57.368338
1569942000,57.339308
1569944995,57.339573
1569945600,57.339675
1569945924,57.378554
1569946572,57.469234
1569947404,57.584388
1569948508,57.732394
1569949200,57.825782
1569949717,57.856101
1569950753,57.904023
1569952800,58.000691
1569954944,58.105947
1569956400,58.177092
1569960000,58.313028
1569963600,58.400652
1569967200,58.467526
1569967686,58.452432
1569968591,58.421108
1569969301,58.396695
1569970800,58.345381
1569971364,58.391399
1569972492,58.495292
1569973621,58.596483
1569974400,58.665917
1569974891,58.693165
1569975875,58.744969
1569978000,58.856156
1569981600,59.034273
1569982680,59.061283
1569984840,59.11327
1569985200,59.121723
1569986280,59.140844
1569988440,59.177736
1569988800,59.183724
1569989880,59.214343
1569992040,59.276147
1569992400,59.286507
1569993480,59.32387
1569995640,59.399425
1569996000,59.412113
1569997080,59.434776
1569999240,59.479209
1569999600,59.486518
1570003200,59.12797
1570006800,58.709456
1570007880,58.643599
1570010040,58.51657
1570010400,58.495873
1570013884,58.184992
1570015080,58.120107
1570017240,58.014374
1570017600,57.997103
1570021200,58.122682
1570022280,58.162931
1570024440,58.243187
1570024800,58.256533
1570025880,58.301041
1570028040,58.390484
1570028400,58.405441
1570028724,58.429783
1570029372,58.482646
1570030831,58.600828
1570032000,58.694808
1570034350,58.671963
1570035600,58.659381
1570039200,58.622159
1570040280,58.591996
1570042440,58.530101
1570042800,58.519656
1570044960,58.499348
1570046400,58.485905
1570047480,58.452232
1570049640,58.382439
1570050000,58.370553
1570051080,58.341589
1570053240,58.28315
1570053600,58.273348
1570054863,58.219215
1570056352,58.156105
1570057200,58.120356
1570057927,58.107704
1570058689,58.095653
1570060320,58.069886
1570060800,58.062349
1570062885,58.006258
1570064400,57.965361
1570065480,57.941761
1570067640,57.895678
1570068000,57.888092
1570070160,57.951232
1570071600,57.993788
1570075200,58.100045
1570078800,58.059944
1570082400,58.069717
1570086000,58.051975
1570089600,58.028871
1570093200,58.010848
1570096800,57.755661
1570097124,57.745046
1570097772,57.728551
1570099974,57.670958
1570100400,57.659621
1570104000,57.46987
1570107600,57.677684
1570111200,57.210082
1570111524,57.195673
1570112172,57.177572
1570114495,57.109187
1570114800,57.099896
1570115497,57.086997
1570116891,57.0649
1570118400,57.041079
1570121263,57.092158
1570122000,57.10538
1570125600,57.366706
1570129200,57.756471
1570132800,57.828231
1570133880,57.877961
1570136040,57.980019
1570136400,57.997316
1570140000,58.14853
1570141080,58.173039
1570143240,58.220493
1570143600,58.228231
1570147200,58.308189
1570148280,58.33731
1570150440,58.395943
1570150800,58.405761
1570154400,58.385977
1570158000,58.347476
1570161600,58.390524
1570162680,58.428348
1570164840,58.505784
1570165200,58.518877
1570166280,58.565232
1570168440,58.659308
1570168800,58.675151
1570169880,58.702516
1570172040,58.756132
1570172400,58.764947
1570173480,58.695049
1570175640,58.54725
1570176000,58.521877
1570176734,58.448872
1570177224,58.396902
1570179600,58.152078
1570180334,58.022897
1570181804,57.75821
1570183200,57.506627
1570183939,57.481285
1570184973,57.452625
1570186007,57.417548
1570186800,57.394668
1570187834,57.383863
1570189902,57.363501
1570190400,57.358782
1570194000,57.312234
1570197600,56.995473
1570201200,56.929197
1570202280,56.909358
1570204440,56.869333
1570204800,56.862619
1570205880,56.887476
1570208040,56.940599
1570208400,56.949813
1570209480,56.992532
1570211640,57.080623
1570212000,57.095616
1570215600,57.259545
1570216680,57.281955
1570218840,57.324719
1570219200,57.331618
1570222800,57.340219
1570226400,57.360631
1570230000,57.378643
1570233600,57.411936
1570235760,57.465475
1570237200,57.501292
1570240800,57.713914
1570241880,57.745059
1570244040,57.804708
1570244400,57.814358
1570248000,57.833457
1570251600,57.825864
1570255200,57.800274
1570258800,57.78477
1570259880,57.739769
1570262040,57.646672
1570262400,57.630836
1570262724,57.584054
1570263372,57.477243
1570264552,57.284272
1570266000,57.051457
1570266440,56.985712
1570267907,56.773009
1570269600,56.526752
1570272148,56.129563
1570273200,55.96569
1570274280,55.922679
1570276440,55.845989
1570276800,55.834233
1570277124,55.814597
1570277772,55.776113
1570278420,55.738871
1570280400,55.624756
1570281303,55.590145
1570283111,55.523198
1570284000,55.490986
1570284324,55.484807
1570284972,55.476207
1570287600,55.441457
1570290840,55.399135
1570291200,55.394437
1570292280,55.451009
1570294440,55.569395
1570294800,55.589697
1570298400,55.985697
1570302000,56.437945
1570305600,56.775507
1570309200,57.061024
1570312800,57.313025
1570316400,57.498453
1570320000,57.662959
1570322160,57.744847
1570323600,57.799379
1570327200,57.909895
1570330800,57.99483
1570334400,57.969905
1570335480,58.014452
1570337640,58.107669
1570338000,58.123337
1570339068,58.162673
1570341206,58.241809
1570341600,58.256457
1570345200,58.229397
1570345524,58.20615
1570346172,58.152118
1570346820,58.098373
1570348800,57.938612
1570349415,57.844681
1570350646,57.650698
1570352400,57.375871
1570354863,57.004002
1570356000,56.832378
1570359600,56.200285
1570359924,56.158761
1570360572,56.081449
1570363200,55.765061
1570363961,55.6923
1570366497,55.455712
1570366800,55.427527
1570367124,55.40115
1570367772,55.35151
1570370400,55.149568
1570373640,54.908047
1570374000,54.881216
1570377600,54.884587
1570378680,54.929085
1570380840,55.020933
1570381200,55.036457
1570381848,55.088561
1570383144,55.197642
1570384800,55.339131
1570388400,55.624025
1570392000,55.891542
1570393080,55.926058
1570395240,55.991671
1570395600,56.002334
1570396248,56.035077
1570397544,56.101305
1570399200,56.185895
1570402800,56.390604
1570403880,56.41488
1570406040,56.460582
1570406400,56.467969
1570407048,56.491077
1570408344,56.537721
1570410000,56.597248
1570413600,56.735445
1570417200,56.830855
1570418280,56.887041
1570420440,57.001556
1570420800,57.020885
1570424400,57.190173
1570428000,57.35961
1570430160,57.347311
1570431600,57.338651
1570435200,57.054324
1570438800,57.179729
1570442400,57.446341
1570443480,57.478759
1570445640,57.539744
1570446000,57.54948
1570447080,57.600516
1570449240,57.702608
1570449600,57.719618
1570450680,57.729154
1570452840,57.745482
1570453200,57.747899
1570454280,57.713624
1570456440,57.640566
1570456800,57.627901
1570457880,57.603668
1570460040,57.554583
1570460400,57.546324
1570464000,57.527818
1570467600,57.553262
1570468680,57.593169
1570470840,57.675367
1570471200,57.689327
1570471524,57.709536
1570472172,57.753819
1570474570,57.916918
1570478400,58.122604
1570482000,58.32539
1570482324,58.344256
1570482972,58.382205
1570485600,58.535996
1570488840,58.702525
1570489200,58.721027
1570489524,58.740822
1570490172,58.781677
1570492800,58.946828
1570493677,58.974702
1570495433,59.027947
1570496400,59.056761
1570496724,59.080664
1570497372,59.131555
1570498875,59.247608
1570500000,59.333847
1570500679,59.3531
1570502039,59.387347
1570503600,59.426252
1570506637,59.454008
1570507200,59.459112
1570507524,59.481358
1570508172,59.533717
1570509563,59.644818
1570510800,59.742337
1570513040,59.737879
1570514400,59.734707
1570518000,59.672407
1570518324,59.64367
1570518972,59.577662
1570520247,59.449342
1570521600,59.314917
1570522182,59.206524
1570523347,58.980144
1570525200,58.623415
1570525757,58.542171
1570527148,58.345514
1570528800,58.108703
1570530697,57.820756
1570532400,57.5622
1570532724,57.532307
1570533372,57.480284
1570535965,57.26827
1570536282,57.248684
1570536847,57.219746
1570539600,57.07709
1570542394,56.901364
1570543200,56.850735
1570544280,56.813544
1570546440,56.74156
1570546800,56.729754
1570547448,56.711081
1570548744,56.675029
1570550400,56.629684
1570551480,56.696946
1570553640,56.84026
1570554000,56.865129
1570557600,57.212099
1570561200,57.518237
1570564800,57.806057
