date,value
1569888000,12.547
1569888318,12.530528
1569888631,12.51439
1569888932,12.498832
1569889233,12.483245
1569889535,12.467658
1569889837,12.452071
1569890139,12.436484
1569890440,12.420896
1569890742,12.405309
1569891044,12.389722
1569891345,12.374135
1569891653,12.359563
1569892003,12.350229
1569892548,12.335713
1569893854,12.300884
1569895160,12.266056
1569896250,12.200233
1569898350,12.0707
1569898800,12.043
1569902067,11.876889
1569902400,11.86
1569906000,11.851
1569906987,11.883095
1569907683,11.905713
1569909299,11.95822
1569909600,11.968
1569910084,11.990619
1569911054,12.035856
1569913200,12.136
1569916800,12.571
1569920400,13.249
1569920724,13.26871
1569921372,13.30813
1569923560,13.441251
1569924000,13.468
1569926188,13.584708
1569927600,13.66
1569928680,13.7995
1569930840,14.0785
1569931200,14.125
1569931783,14.131318
1569932614,14.14032
1569933445,14.149322
1569934698,14.1629
1569935447,14.108947
1569936743,13.998842
1569938400,13.858
1569940185,13.892228
1569942000,13.927
1569944995,13.924504
1569945600,13.924
1569945924,13.87243
1569946572,13.76929
1569947404,13.63681
1569948508,13.461119
1569949200,13.351
1569949717,13.322082
1569950753,13.264245
1569952800,13.15
1569954944,13.028488
1569956400,12.946
1569960000,12.787
1569963600,12.685
1569967200,12.607
1569967686,12.62644
1569968591,12.662646
1569969301,12.691075
1569970800,12.751
1569971364,12.691751
1569972492,12.573251
1569973621,12.454752
1569974400,12.373
1569974891,12.342668
1569975875,12.282005
1569978000,12.151
1569981600,11.944
1569982680,11.9134
1569984840,11.8522
1569985200,11.842
1569986280,11.8204
1569988440,11.7772
1569988800,11.77
1569989880,11.734
1569992040,11.662
1569992400,11.65
1569993480,11.6059
1569995640,11.5177
1569996000,11.503
1569997080,11.4769
1569999240,11.4247
1569999600,11.416
1570003200,11.839
1570006800,12.328
1570007880,12.4027
1570010040,12.5521
1570010400,12.577
1570013884,12.939946
1570015080,13.0141
1570017240,13.1383
1570017600,13.159
1570021200,13.009
1570022280,12.9622
1570024440,12.8686
1570024800,12.853
1570025880,12.8008
1570028040,12.6964
1570028400,12.679
1570028724,12.64849
1570029372,12.58747
1570030831,12.449993
1570032000,12.34
1570034350,12.369375
1570035600,12.385
1570039200,12.427
1570040280,12.463
1570042440,12.535
1570042800,12.547
1570044960,12.5704
1570046400,12.586
1570047480,12.6265
1570049640,12.7075
1570050000,12.721
1570051080,12.7552
1570053240,12.8236
1570053600,12.835
1570054863,12.89818
1570056352,12.972644
1570057200,13.015
1570057927,13.028335
1570058689,13.042309
1570060320,13.072215
1570060800,13.081
1570062885,13.147035
1570064400,13.195
1570065480,13.222
1570067640,13.276
1570068000,13.285
1570070160,13.2094
1570071600,13.159
1570075200,13.036
1570078800,13.084
1570082400,13.072
1570086000,13.093
1570089600,13.12
1570093200,13.141
1570096800,13.441
1570097124,13.45099
1570097772,13.47097
1570099974,13.538878
1570100400,13.552
1570104000,13.774
1570107600,13.528
1570111200,14.08
1570111524,14.09134
1570112172,14.11402
1570114495,14.195356
1570114800,14.206
1570115497,14.219362
1570116891,14.246087
1570118400,14.275
1570121263,14.212957
1570122000,14.197
1570125600,13.891
1570129200,13.435
1570132800,13.354
1570133880,13.2946
1570136040,13.1758
1570136400,13.156
1570140000,12.979
1570141080,12.9511
1570143240,12.8953
1570143600,12.886
1570147200,12.793
1570148280,12.7588
1570150440,12.6904
1570150800,12.679
1570154400,12.703
