date,value
1569888000,8.49
1569888318,8.4350934
1569888631,8.3813005
1569888932,8.3294396
1569889233,8.2774826
1569889535,8.2255256
1569889837,8.1735686
1569890139,8.1216116
1569890440,8.0696546
1569890742,8.0176976
1569891044,7.9657406
1569891345,7.9137836
1569891653,7.8652083
1569892003,7.8340952
1569892548,7.7857094
1569893854,7.6696139
1569895160,7.5535184
1569896250,7.3341111
1569898350,6.9023334
1569898800,6.81
1569902067,6.2562971
1569902400,6.2
1569906000,6.17
1569906987,6.2769836
1569907683,6.3523771
1569909299,6.5274017
1569909600,6.56
1569910084,6.6353952
1569911054,6.7861856
1569913200,7.12
1569916800,8.57
1569920400,10.83
1569920724,10.8957
1569921372,11.0271
1569923560,11.470835
1569924000,11.56
1569926188,11.949028
1569927600,12.2
1569928680,12.665
1569930840,13.595
1569931200,13.75
1569931783,13.77106
1569932614,13.801067
1569933445,13.831075
1569934698,13.876332
1569935447,13.696491
1569936743,13.329474
1569938400,12.86
1569940185,12.974094
1569942000,13.09
1569944995,13.081679
1569945600,13.08
1569945924,12.9081
1569946572,12.5643
1569947404,12.122699
1569948508,11.537062
1569949200,11.17
1569949717,11.073605
1569950753,10.880816
1569952800,10.5
1569954944,10.094961
1569956400,9.82
1569960000,9.29
1569963600,8.95
1569967200,8.69
1569967686,8.7548
1569968591,8.8754853
1569969301,8.9702506
1569970800,9.17
1569971364,8.9725014
1569972492,8.5775043
1569973621,8.1825072
1569974400,7.91
1569974891,7.8088945
1569975875,7.6066836
1569978000,7.17
1569981600,6.48
1569982680,6.378
1569984840,6.174
1569985200,6.14
1569986280,6.068
1569988440,5.924
1569988800,5.9
1569989880,5.78
1569992040,5.54
1569992400,5.5
1569993480,5.353
1569995640,5.059
1569996000,5.01
1569997080,4.923
1569999240,4.749
1569999600,4.72
1570003200,6.13
1570006800,7.76
1570007880,8.009
1570010040,8.507
1570010400,8.59
1570013884,9.7998212
1570015080,10.047
1570017240,10.461
1570017600,10.53
1570021200,10.03
1570022280,9.874
1570024440,9.562
1570024800,9.51
1570025880,9.336
1570028040,8.988
1570028400,8.93
1570028724,8.8283
1570029372,8.6249
1570030831,8.1666435
1570032000,7.8
1570034350,7.8979167
1570035600,7.95
1570039200,8.09
1570040280,8.21
1570042440,8.45
1570042800,8.49
1570044960,8.568
1570046400,8.62
1570047480,8.755
1570049640,9.025
1570050000,9.07
1570051080,9.184
1570053240,9.412
1570053600,9.45
1570054863,9.6606
1570056352,9.9088149
1570057200,10.05
