Datum,Uhrzeit,Druck (bar),Heizöl (Liter),IST Rücklauf (°C),IST Vorlauf (°C)
2020-01-01,00:00:00,0.5080,861.1160,7.4780,7.8360
2020-01-01,00:01:00,0.5110,862.1630,7.5190,7.8560
2020-01-01,00:02:00,0.5080,862.2570,7.4970,7.8000
2020-01-01,00:03:00,0.5060,862.2190,7.4970,7.7510
2020-01-01,00:04:00,0.5100,863.5840,7.5240,7.8660
2020-01-01,00:05:00,0.5070,863.3970,7.4900,7.8440
2020-01-01,00:06:00,0.5070,862.1630,7.5020,7.8170
2020-01-01,00:07:00,0.5070,862.2190,7.4820,7.8610
2020-01-01,00:08:00,0.5070,863.3970,7.4700,7.7680
2020-01-01,00:09:00,0.5090,862.1260,7.5000,7.7970
2020-01-01,00:10:00,0.5060,862.0880,7.5020,7.7700
2020-01-01,00:11:00,0.5070,860.7610,7.4970,7.7920
2020-01-01,00:12:00,0.5080,862.2190,7.5070,7.7900
2020-01-01,00:13:00,0.5110,862.1260,7.4970,7.7750
2020-01-01,00:14:00,0.5120,862.0880,7.5120,7.8710
2020-01-01,00:15:00,0.5070,863.5470,7.5000,7.7660
2020-01-01,00:16:00,0.5090,862.3130,7.5020,7.7560
2020-01-01,00:17:00,0.5100,862.1260,7.5020,7.7800
2020-01-01,00:18:00,0.5130,862.2190,7.5070,7.7800
2020-01-01,00:19:00,0.5050,862.5000,7.5040,7.7970
2020-01-01,00:20:00,0.5100,863.5840,7.5120,7.7920
2020-01-01,00:21:00,0.5070,863.2660,7.4970,7.7630
2020-01-01,00:22:00,0.5090,861.2090,7.4650,7.8120
2020-01-01,00:23:00,0.5110,860.9480,7.5070,7.7880
2020-01-01,00:24:00,0.5120,861.0220,7.4750,7.8340
2020-01-01,00:25:00,0.5100,863.3970,7.5040,7.7920
2020-01-01,00:26:00,0.5100,862.1630,7.4780,7.7970
2020-01-01,00:27:00,0.5110,860.9850,7.5040,7.7920
2020-01-01,00:28:00,0.5110,860.9850,7.4680,7.7580
2020-01-01,00:29:00,0.5070,862.1630,7.5000,7.7610
2020-01-01,00:30:00,0.5100,863.5840,7.5090,7.8580
2020-01-01,00:31:00,0.5090,862.0880,7.4800,7.8340
2020-01-01,00:32:00,0.5080,862.2570,7.5260,7.8560
2020-01-01,00:33:00,0.5050,860.8910,7.4850,7.7880
2020-01-01,00:35:00,0.5100,860.7610,7.4970,7.7950
2020-01-01,00:36:00,0.5100,860.9850,7.5170,7.7700
2020-01-01,00:37:00,0.5070,860.9480,7.5120,7.8390
2020-01-01,00:38:00,0.5120,862.0880,7.5090,7.7580
2020-01-01,00:39:00,0.5010,860.7040,7.5120,7.7970
2020-01-01,00:40:00,0.5060,862.1260,7.4850,7.7530
2020-01-01,00:41:00,0.5130,863.3970,7.5070,7.8020
2020-01-01,00:42:00,0.5130,862.1630,7.5070,7.7950
2020-01-01,00:43:00,0.5090,862.1630,7.4560,7.7950
2020-01-01,00:44:00,0.5010,860.7610,7.4730,7.7610
2020-01-01,00:45:00,0.5130,860.8910,7.5020,7.8020
2020-01-01,00:46:00,0.5030,862.1630,7.4800,7.7530
2020-01-01,00:47:00,0.5060,862.0880,7.4900,7.8750
2020-01-01,00:48:00,0.5090,862.1630,7.4900,7.7970
2020-01-01,00:49:00,0.5090,860.8540,7.4630,7.8170
2020-01-01,00:50:00,0.5130,860.9480,7.5120,7.7920
2020-01-01,00:51:00,0.5090,862.2190,7.4600,7.7830
2020-01-01,00:52:00,0.5080,862.2570,7.4680,7.7780
2020-01-01,00:53:00,0.5090,862.3130,7.4600,7.8120
2020-01-01,00:54:00,0.5040,860.8910,7.5040,7.7950
2020-01-01,00:55:00,0.5100,862.3500,7.4920,7.7920
2020-01-01,00:56:00,0.5070,861.0220,7.5120,7.8170
2020-01-01,00:57:00,0.5060,862.1260,7.4870,7.8340
2020-01-01,00:58:00,0.5080,862.0880,7.4750,7.7410
2020-01-01,00:59:00,0.5010,862.1630,7.4950,7.7440
2020-01-01,01:00:00,0.5080,862.1260,7.4730,7.8540
2020-01-01,01:01:00,0.5130,862.2570,7.5020,7.8050
2020-01-01,01:02:00,0.5090,863.3970,7.5140,7.8340
2020-01-01,01:03:00,0.5000,862.0880,7.4850,7.8490
2020-01-01,01:04:00,0.5100,862.0880,7.5000,7.7630
2020-01-01,01:05:00,0.5100,860.7980,7.5120,7.7730
2020-01-01,01:06:00,0.5090,862.2190,7.4920,7.8610
2020-01-01,01:07:00,0.5080,863.5470,7.4680,7.8440
2020-01-01,01:08:00,0.5090,861.9390,7.4650,7.8340
2020-01-01,01:09:00,0.5100,862.2570,7.4700,7.8340
2020-01-01,01:10:00,0.5090,862.2190,7.5000,7.7900
2020-01-01,01:11:00,0.5090,862.1260,7.4780,7.7850
2020-01-01,01:12:00,0.5100,863.3600,7.4560,7.8320
2020-01-01,01:13:00,0.5100,863.2660,7.4870,7.7830
2020-01-01,01:14:00,0.5070,862.1260,7.4510,7.7460
2020-01-01,01:15:00,0.5090,863.2660,7.4870,7.7660
2020-01-01,01:16:00,0.5060,862.2570,7.4850,7.7340
2020-01-01,01:17:00,0.5060,863.5840,7.4630,7.7390
2020-01-01,01:18:00,0.5090,860.9850,7.4730,7.8490
2020-01-01,01:19:00,0.5060,862.2190,7.4380,7.7680
2020-01-01,01:20:00,0.5080,861.9390,7.4680,7.7440
2020-01-01,01:21:00,0.5100,862.0880,7.4750,7.7700
2020-01-01,01:22:00,0.5080,861.9010,7.4700,7.7530
2020-01-01,01:23:00,0.5100,862.1260,7.4850,7.7830
2020-01-01,01:24:00,0.5100,862.1260,7.4460,7.7800
2020-01-01,01:25:00,0.5070,861.1160,7.4700,7.7290
2020-01-01,01:26:00,0.5080,862.3130,7.4800,7.7580
2020-01-01,01:27:00,0.5030,860.8540,7.4950,7.7830
2020-01-01,01:28:00,0.5070,862.0320,7.4480,7.7270
2020-01-01,01:29:00,0.5060,862.0880,7.4560,7.7340
2020-01-01,01:30:00,0.4940,862.1630,7.4630,7.7270
2020-01-01,01:31:00,0.5090,862.2570,7.4430,7.7970
2020-01-01,01:32:00,0.5060,863.3970,7.4600,7.7580
2020-01-01,01:33:00,0.5050,862.8550,7.4780,7.7560
2020-01-01,01:34:00,0.5090,862.2190,7.4460,7.7220
2020-01-01,01:35:00,0.5060,863.4530,7.4870,7.7440
2020-01-01,01:36:00,0.5070,861.5830,7.4850,7.7800
2020-01-01,01:37:00,0.5110,863.5840,7.4460,7.7310
2020-01-01,01:38:00,0.5060,862.1260,7.4310,7.7630
2020-01-01,01:39:00,0.5050,863.4910,7.4290,7.7270
2020-01-01,01:40:00,0.5100,863.3040,7.4700,7.7700
2020-01-01,01:41:00,0.5120,862.3130,7.4340,7.7290
2020-01-01,01:42:00,0.5070,863.5470,7.4210,7.7490
2020-01-01,01:43:00,0.5100,862.1260,7.4650,7.7560
2020-01-01,01:44:00,0.5090,863.3600,7.4560,7.8240
2020-01-01,01:45:00,0.5070,863.2660,7.4680,7.7560
2020-01-01,01:46:00,0.5100,863.3970,7.4650,7.8320
2020-01-01,01:47:00,0.5060,863.3600,7.4800,7.7440
2020-01-01,01:48:00,0.5120,863.4530,7.4750,7.7830
2020-01-01,01:49:00,0.5010,862.7240,7.4800,7.7750
2020-01-01,01:50:00,0.5070,863.3970,7.4730,7.7070
2020-01-01,01:51:00,0.5090,863.3600,7.4700,7.7780
2020-01-01,01:52:00,0.5090,863.3970,7.4410,7.7340
2020-01-01,01:53:00,0.5090,862.1630,7.4360,7.7410
2020-01-01,01:54:00,0.5050,864.2760,7.4290,7.7140
2020-01-01,01:55:00,0.5080,863.4910,7.4600,7.7410
2020-01-01,01:56:00,0.5060,863.5840,7.4460,7.7070
2020-01-01,01:57:00,0.4970,863.3970,7.4340,7.8390
2020-01-01,01:58:00,0.5060,863.3970,7.4680,7.7460
2020-01-01,01:59:00,0.5060,862.9860,7.4650,7.7310
2020-01-01,02:00:00,0.5080,863.4530,7.4650,7.7970
2020-01-01,02:01:00,0.5070,863.4910,7.4560,7.7610
2020-01-01,02:02:00,0.5090,863.1350,7.4360,7.7000
2020-01-01,02:03:00,0.5090,862.1260,7.4510,7.7530
2020-01-01,02:04:00,0.5060,862.2190,7.4580,7.7460
2020-01-01,02:05:00,0.5060,862.2190,7.4530,7.7070
2020-01-01,02:06:00,0.5090,862.2190,7.4460,7.7460
2020-01-01,02:07:00,0.5100,862.0880,7.4600,7.7050
2020-01-01,02:08:00,0.5120,863.5470,7.4530,7.8100
2020-01-01,02:09:00,0.5100,862.2570,7.4700,7.7020
2020-01-01,02:10:00,0.5080,863.4530,7.4460,7.7390
2020-01-01,02:11:00,0.5090,862.1630,7.4260,7.6950
2020-01-01,02:12:00,0.5080,860.8910,7.4260,7.6900
2020-01-01,02:13:00,0.5070,862.1260,7.4600,7.7920
2020-01-01,02:14:00,0.5080,862.0880,7.4600,7.7780
2020-01-01,02:15:00,0.5070,862.7610,7.4430,7.8070
2020-01-01,02:16:00,0.5090,862.1260,7.4600,7.7050
2020-01-01,02:17:00,0.5060,863.4530,7.4510,7.7290
2020-01-01,02:18:00,0.5030,863.4910,7.4190,7.6870
2020-01-01,02:19:00,0.5060,860.8540,7.4580,7.7090
2020-01-01,02:20:00,0.5070,862.2190,7.4160,7.7830
2020-01-01,02:21:00,0.5090,862.0880,7.4560,7.7050
2020-01-01,02:22:00,0.5100,863.5470,7.4460,7.7220
2020-01-01,02:23:00,0.5110,862.2570,7.4430,7.7220
2020-01-01,02:24:00,0.5090,863.3600,7.4410,7.7170
2020-01-01,02:25:00,0.5110,863.5470,7.4410,7.7490
2020-01-01,02:26:00,0.5100,863.5470,7.4410,7.7270
2020-01-01,02:27:00,0.5090,863.5470,7.4340,7.7440
2020-01-01,02:28:00,0.5100,862.2190,7.4380,7.6780
2020-01-01,02:29:00,0.5070,863.3970,7.4410,7.7340
2020-01-01,02:30:00,0.5100,862.2190,7.4510,7.7460
2020-01-01,02:31:00,0.5040,862.7610,7.3920,7.7240
2020-01-01,02:32:00,0.5100,863.4530,7.4290,7.7190
2020-01-01,02:33:00,0.5070,863.3970,7.4460,7.7440
2020-01-01,02:34:00,0.5090,863.5840,7.4360,7.7000
2020-01-01,02:35:00,0.5050,861.9010,7.4310,7.6920
2020-01-01,02:36:00,0.5070,862.0880,7.4260,7.8020
2020-01-01,02:37:00,0.5060,862.1630,7.3990,7.6870
2020-01-01,02:38:00,0.5100,862.2570,7.4190,7.6700
2020-01-01,02:39:00,0.5090,862.2570,7.4160,7.6800
2020-01-01,02:40:00,0.5090,862.7610,7.4310,7.7360
2020-01-01,02:41:00,0.5100,862.3500,7.4510,7.7900
2020-01-01,02:42:00,0.5100,863.5470,7.4190,7.6870
2020-01-01,02:43:00,0.5130,863.5840,7.4340,7.6830
2020-01-01,02:44:00,0.5080,863.3970,7.4340,7.7190
2020-01-01,02:45:00,0.5110,864.6310,7.4360,7.7340
2020-01-01,02:46:00,0.5100,862.1630,7.4340,7.6850
2020-01-01,02:47:00,0.5100,863.5470,7.3970,7.6870
2020-01-01,02:48:00,0.5050,863.5840,7.4380,7.7830
2020-01-01,02:49:00,0.5040,862.1630,7.4290,7.7270
2020-01-01,02:50:00,0.5100,863.3970,7.4360,7.6800
2020-01-01,02:51:00,0.5110,863.5470,7.3970,7.7800
2020-01-01,02:52:00,0.5110,863.6400,7.4460,7.7630
2020-01-01,02:53:00,0.5060,863.5840,7.4310,7.7120
2020-01-01,02:54:00,0.5080,863.4530,7.4040,7.7660
2020-01-01,02:55:00,0.5110,863.4910,7.4460,7.7170
2020-01-01,02:56:00,0.5090,864.6880,7.4310,7.7220
2020-01-01,02:57:00,0.5110,862.7240,7.4040,7.7020
2020-01-01,02:58:00,0.4990,862.0880,7.3970,7.6850
2020-01-01,02:59:00,0.5100,860.8540,7.4380,7.7610
2020-01-01,03:00:00,0.5070,862.2190,7.4160,7.7170
2020-01-01,03:02:00,0.5070,862.2190,7.4310,7.6730
2020-01-01,03:03:00,0.5030,862.0880,7.4190,7.6750
2020-01-01,03:04:00,0.5090,863.5470,7.3900,7.6920
2020-01-01,03:05:00,0.5060,862.5000,7.4340,7.7240
2020-01-01,03:06:00,0.5040,863.4530,7.4380,7.7270
2020-01-01,03:07:00,0.5040,862.1260,7.4210,7.6800
2020-01-01,03:08:00,0.5080,863.3970,7.4210,7.6660
2020-01-01,03:09:00,0.5040,862.7240,7.3970,7.6750
2020-01-01,03:10:00,0.5040,863.4910,7.4160,7.7070
2020-01-01,03:11:00,0.5070,863.4530,7.3920,7.7220
2020-01-01,03:12:00,0.5050,863.4910,7.3870,7.7070
2020-01-01,03:13:00,0.5060,863.4910,7.4160,7.6970
2020-01-01,03:14:00,0.5060,863.5840,7.4240,7.7240
2020-01-01,03:15:00,0.4990,863.5470,7.4070,7.6970
2020-01-01,03:16:00,0.5040,862.8550,7.3800,7.7050
2020-01-01,03:17:00,0.5050,863.3040,7.3950,7.6800
2020-01-01,03:18:00,0.5040,863.4910,7.4260,7.6780
2020-01-01,03:19:00,0.5040,862.8550,7.3700,7.6830
2020-01-01,03:20:00,0.5050,863.5470,7.3920,7.7440
2020-01-01,03:21:00,0.5030,863.3600,7.3920,7.6780
2020-01-01,03:22:00,0.5050,863.6400,7.3900,7.7120
2020-01-01,03:23:00,0.5050,862.0880,7.3990,7.7090
2020-01-01,03:24:00,0.5070,860.9480,7.4070,7.7730
2020-01-01,03:25:00,0.5060,862.2570,7.4070,7.7660
2020-01-01,03:26:00,0.5050,862.2190,7.3870,7.7530
2020-01-01,03:27:00,0.5050,863.6780,7.3990,7.7510
2020-01-01,03:28:00,0.4980,862.2190,7.4210,7.6870
2020-01-01,03:29:00,0.5070,862.2190,7.3680,7.6870
2020-01-01,03:30:00,0.5050,863.4530,7.4210,7.7610
2020-01-01,03:31:00,0.5020,862.0320,7.4240,7.6830
2020-01-01,03:32:00,0.5040,862.2190,7.4040,7.7510
2020-01-01,03:33:00,0.5000,863.4530,7.4160,7.6660
2020-01-01,03:34:00,0.5060,862.3500,7.4090,7.7090
2020-01-01,03:35:00,0.5000,862.2570,7.4140,7.7070
2020-01-01,03:36:00,0.5070,862.3130,7.3820,7.7290
2020-01-01,03:37:00,0.5050,862.2570,7.4160,7.7090
2020-01-01,03:38:00,0.5050,862.0880,7.3990,7.6700
2020-01-01,03:39:00,0.5050,862.4060,7.3770,7.7440
2020-01-01,03:40:00,0.5090,862.3130,7.4140,7.6830
2020-01-01,03:41:00,0.5060,862.2570,7.4120,7.6680
2020-01-01,03:42:00,0.5080,863.4910,7.4290,7.7120
2020-01-01,03:43:00,0.5080,863.5840,7.4260,7.7240
2020-01-01,03:44:00,0.5070,862.2570,7.4140,7.6950
2020-01-01,03:45:00,0.5050,863.4910,7.3870,7.7360
2020-01-01,03:46:00,0.5000,863.5470,7.4070,7.6950
2020-01-01,03:47:00,0.5040,860.8910,7.3800,7.6700
2020-01-01,03:48:00,0.5000,862.1630,7.3990,7.6870
2020-01-01,03:49:00,0.5060,862.2190,7.4290,7.7730
2020-01-01,03:50:00,0.5070,862.1260,7.3900,7.6730
2020-01-01,03:51:00,0.5060,862.3130,7.4290,7.6920
2020-01-01,03:52:00,0.5020,863.4530,7.4210,7.7140
2020-01-01,03:53:00,0.5080,863.2660,7.4410,7.7700
2020-01-01,03:54:00,0.5050,863.4530,7.3950,7.6700
