date,value
1569888000,1.0
1569888360,1.0
1569888686,1.0
1569889090,1.0
1569889584,1.0
1569890101,1.0
1569890772,1.0
1569892011,1.0
1569894174,1.0
1569895200,1.0
1569898800,1.0
1569899124,1.0
1569899772,1.0
1569901176,1.0
1569902400,1.0
1569904123,1.0
1569906000,1.0
1569909446,1.0
1569913200,1.0
1569913528,1.0
1569914136,1.0
1569914706,1.0
1569915844,1.0
1569916800,1.0
1569917143,1.0
1569917602,1.0
1569918390,1.0
1569919231,1.0
1569920993,1.0
1569924000,1.0
1569928209,1.0
1569934800,1.0
1569935283,1.0
1569936249,1.0
1569937728,1.0
1569938400,1.0
1569938911,1.0
1569939382,1.0
1569939854,1.0
1569940858,1.0
1569941861,1.0
1569943176,1.0
1569945317,1.0
1569948731,1.0
1569949200,1.0
1569952800,1.0
1569956400,1.0
1569960000,1.0
1569960324,1.0
1569960972,1.0
1569962584,1.0
1569964706,1.0
1569966828,1.0
1569967200,1.0
1569967620,1.0
1569968460,1.0
1569969301,1.0
1569970341,1.0
1569970800,1.0
1569971119,1.0
1569971704,1.0
1569972231,1.0
1569973283,1.0
1569974335,1.0
1569974800,1.0
1569975239,1.0
1569975595,1.0
1569976488,1.0
1569977844,1.0
1569981184,1.0
1569981600,1.0
1569982680,1.0
1569984840,1.0
1569985200,1.0
1569988800,1.0
1569989977,1.0
1569991119,1.0
1569992400,1.0
1569994462,1.0
1569996000,1.0
1569999124,1.0
1569999600,1.0
1569999929,1.0
1570000498,1.0
1570001007,1.0
1570002444,1.0
1570003200,1.0
1570003618,1.0
1570004020,1.0
1570005352,1.0
1570006203,1.0
1570006800,1.0
1570007404,1.0
1570008614,1.0
1570009824,1.0
1570010400,1.0
1570010762,1.0
1570011488,1.0
1570012214,1.0
1570013310,1.0
1570014000,1.0
1570015336,1.0
1570017600,1.0
1570018791,1.0
1570021175,1.0
1570021524,1.0
1570022172,1.0
1570024800,1.0
1570026910,1.0
1570028400,1.0
1570032000,1.0
1570035600,1.0
1570039200,1.0
1570040208,1.0
1570042225,1.0
1570042800,1.0
1570044816,1.0
1570046400,1.0
1570047480,1.0
1570049640,1.0
1570050000,1.0
1570050324,1.0
1570050972,1.0
1570051620,1.0
1570052458,1.0
1570053600,1.0
1570053979,1.0
1570054738,1.0
1570056658,1.0
1570057200,1.0
1570057666,1.0
1570058044,1.0
1570058501,1.0
1570059664,1.0
1570060800,1.0
1570061301,1.0
1570061911,1.0
1570062332,1.0
1570063151,1.0
1570063970,1.0
1570064400,1.0
1570067316,1.0
1570068000,1.0
1570068324,1.0
1570068972,1.0
1570071098,1.0
1570071600,1.0
1570074281,1.0
1570075200,1.0
1570078800,1.0
1570082400,1.0
1570086000,1.0
1570086306,1.0
1570086874,1.0
1570087361,1.0
1570088611,1.0
1570089600,1.0
1570089915,1.0
1570090490,1.0
1570090830,1.0
1570091383,1.0
1570092347,1.0
1570093200,1.0
1570095958,1.0
1570096800,1.0
1570100400,1.0
1570104000,1.0
1570107600,1.0
1570111200,1.0
1570114800,1.0
1570115124,1.0
1570115772,1.0
1570117414,1.0
1570118400,1.0
1570118892,1.0
1570119877,1.0
1570121217,1.0
1570122000,1.0
1570123695,1.0
1570125600,1.0
1570126137,1.0
1570126661,1.0
1570127186,1.0
1570128407,1.0
1570129200,1.0
1570129529,1.0
1570130463,1.0
1570131396,1.0
1570132522,1.0
1570133368,1.0
1570134506,1.0
1570136400,1.0
1570138435,1.0
1570140000,1.0
1570141080,1.0
1570143240,1.0
1570143600,1.0
1570143905,1.0
1570144437,1.0
1570144957,1.0
1570146030,1.0
1570147200,1.0
1570147535,1.0
1570148107,1.0
1570148445,1.0
1570149140,1.0
1570150800,1.0
1570153013,1.0
1570154400,1.0
1570158000,1.0
1570161600,1.0
1570165200,1.0
1570168800,1.0
1570172400,1.0
1570172807,1.0
1570173229,1.0
1570173651,1.0
1570174589,1.0
1570176000,1.0
1570176391,1.0
1570176739,1.0
1570177591,1.0
1570179600,1.0
1570181758,1.0
1570183200,1.0
1570186564,1.0
1570190400,1.0
1570194000,1.0
1570194324,1.0
1570194972,1.0
1570195778,1.0
1570196800,1.0
1570197600,1.0
1570198167,1.0
1570199301,1.0
1570202607,1.0
1570204800,1.0
1570205792,1.0
1570207776,1.0
1570208400,1.0
1570211102,1.0
1570212000,1.0
1570215600,1.0
1570219200,1.0
1570225123,1.0
1570226400,1.0
1570227048,1.0
1570228344,1.0
1570230000,1.0
1570230453,1.0
1570230896,1.0
1570231444,1.0
1570232200,1.0
1570233393,1.0
1570233707,1.0
1570234126,1.0
1570234469,1.0
1570234812,1.0
1570235473,1.0
1570237200,1.0
1570238973,1.0
1570242521,1.0
1570248613,1.0
1570251600,1.0
1570253986,1.0
1570255200,1.0
1570258800,1.0
1570259116,1.0
1570259706,1.0
1570260212,1.0
1570261459,1.0
1570262400,1.0
1570262731,1.0
1570263106,1.0
1570263409,1.0
1570263800,1.0
1570264631,1.0
1570265824,1.0
1570269600,1.0
1570270680,1.0
1570272840,1.0
1570273200,1.0
1570274009,1.0
1570275628,1.0
1570276800,1.0
1570278418,1.0
1570280400,1.0
1570283637,1.0
1570290113,1.0
1570294800,1.0
1570302000,1.0
1570309200,1.0
1570312800,1.0
1570313772,1.0
1570315716,1.0
1570316400,1.0
1570316924,1.0
1570317445,1.0
1570318062,1.0
1570318679,1.0
1570319296,1.0
1570319913,1.0
1570320661,1.0
1570321983,1.0
1570323305,1.0
1570325486,1.0
1570327200,1.0
1570330800,1.0
1570334400,1.0
1570334724,1.0
1570335372,1.0
1570336020,1.0
1570338000,1.0
1570339993,1.0
1570341600,1.0
1570341927,1.0
1570342629,1.0
1570343520,1.0
1570345041,1.0
1570348143,1.0
1570348800,1.0
1570349246,1.0
1570349711,1.0
1570350017,1.0
1570350666,1.0
1570351624,1.0
1570352400,1.0
1570354921,1.0
1570356000,1.0
1570359600,1.0
1570363200,1.0
1570363524,1.0
1570364172,1.0
1570365884,1.0
1570366800,1.0
1570369172,1.0
1570370400,1.0
1570371480,1.0
1570373640,1.0
1570374000,1.0
1570377479,1.0
1570381200,1.0
1570384800,1.0
1570386960,1.0
1570388400,1.0
1570388724,1.0
1570389372,1.0
1570390350,1.0
1570391582,1.0
1570392000,1.0
1570394852,1.0
1570395600,1.0
1570396680,1.0
1570398840,1.0
1570399200,1.0
1570401360,1.0
1570402800,1.0
1570403124,1.0
1570403772,1.0
1570404420,1.0
1570405068,1.0
1570406228,1.0
1570406561,1.0
1570406883,1.0
1570407378,1.0
1570407873,1.0
1570408710,1.0
1570410000,1.0
1570411512,1.0
1570413600,1.0
1570416624,1.0
1570417200,1.0
1570417524,1.0
1570418172,1.0
1570419147,1.0
1570420385,1.0
1570420800,1.0
1570421207,1.0
1570421621,1.0
1570422000,1.0
1570422519,1.0
1570423039,1.0
1570424027,1.0
1570424400,1.0
1570425731,1.0
1570428000,1.0
1570428718,1.0
1570430293,1.0
1570431600,1.0
1570432062,1.0
1570432394,1.0
1570432836,1.0
1570433686,1.0
1570435200,1.0
1570435514,1.0
1570435999,1.0
1570436782,1.0
1570438547,1.0
1570439329,1.0
1570440388,1.0
1570441447,1.0
1570442400,1.0
1570442788,1.0
1570443565,1.0
1570444342,1.0
1570445119,1.0
1570446000,1.0
1570446446,1.0
1570447339,1.0
1570449600,1.0
1570450182,1.0
1570451346,1.0
1570452816,1.0
1570453200,1.0
1570453734,1.0
1570454802,1.0
1570456800,1.0
1570459692,1.0
1570460400,1.0
1570464000,1.0
1570465080,1.0
1570467240,1.0
1570467600,1.0
1570467913,1.0
1570468539,1.0
1570470642,1.0
1570473556,1.0
1570476471,1.0
1570478400,1.0
1570482000,1.0
1570483080,1.0
1570485240,1.0
1570485600,1.0
1570488536,1.0
1570489200,1.0
1570489524,1.0
1570490172,1.0
1570490820,1.0
1570491468,1.0
1570492616,1.0
1570493326,1.0
1570494379,1.0
1570495433,1.0
1570496400,1.0
1570498018,1.0
1570500000,1.0
1570503237,1.0
1570503600,1.0
1570503924,1.0
1570504572,1.0
1570505589,1.0
1570506949,1.0
1570507937,1.0
1570509413,1.0
1570510800,1.0
1570514400,1.0
1570515663,1.0
1570517080,1.0
1570518000,1.0
1570518448,1.0
1570519132,1.0
1570519930,1.0
1570521585,1.0
1570521922,1.0
1570522408,1.0
1570523192,1.0
1570525200,1.0
1570527389,1.0
1570528800,1.0
1570532400,1.0
1570536000,1.0
1570537080,1.0
1570539240,1.0
1570542815,1.0
1570543200,1.0
1570546800,1.0
1570550400,1.0
1570554000,1.0
1570557600,1.0
1570561200,1.0
1570561524,1.0
1570562172,1.0
1570563289,1.0
1570564774,1.0
1570567837,1.0
1570572000,1.0
1570572546,1.0
1570573640,1.0
1570575564,1.0
1570576285,1.0
1570576743,1.0
1570577200,1.0
1570577712,1.0
1570578621,1.0
1570579200,1.0
1570579735,1.0
1570580104,1.0
1570580472,1.0
1570581393,1.0
1570582800,1.0
1570584891,1.0
1570586400,1.0
1570587480,1.0
1570589640,1.0
1570590000,1.0
1570593600,1.0
1570597200,1.0
1570600800,1.0
1570604400,1.0
1570604827,1.0
1570605151,1.0
1570605595,1.0
1570606180,1.0
1570607299,1.0
1570608000,1.0
1570608371,1.0
1570608840,1.0
1570609403,1.0
1570610811,1.0
1570611600,1.0
1570613007,1.0
1570615200,1.0
1570618005,1.0
1570623616,1.0
1570629600,1.0
1570633200,1.0
1570636800,1.0
1570640400,1.0
1570641480,1.0
1570643640,1.0
1570644000,1.0
1570644324,1.0
1570644972,1.0
1570645991,1.0
1570647325,1.0
1570650263,1.0
1570651200,1.0
1570654800,1.0
1570658400,1.0
1570662000,1.0
1570662486,1.0
1570663119,1.0
1570663653,1.0
1570664686,1.0
1570665600,1.0
1570666354,1.0
1570667864,1.0
1570669200,1.0
1570670709,1.0
1570672800,1.0
1570675819,1.0
1570676400,1.0
1570680000,1.0
1570683600,1.0
1570687200,1.0
1570690800,1.0
1570691129,1.0
1570691754,1.0
1570692267,1.0
1570693321,1.0
1570694400,1.0
1570694839,1.0
1570695226,1.0
1570696183,1.0
1570697433,1.0
1570698000,1.0
1570700423,1.0
1570701600,1.0
1570705200,1.0
1570708800,1.0
1570712400,1.0
1570716000,1.0
1570716324,1.0
1570716972,1.0
1570717858,1.0
1570718981,1.0
1570719600,1.0
1570721951,1.0
1570723200,1.0
1570726800,1.0
1570727880,1.0
1570730040,1.0
1570733859,1.0
1570737600,1.0
1570741200,1.0
1570744800,1.0
1570748400,1.0
1570748724,1.0
1570749372,1.0
1570750020,1.0
1570750668,1.0
1570751811,1.0
1570752158,1.0
1570752476,1.0
1570752794,1.0
1570753491,1.0
1570754189,1.0
1570755600,1.0
1570757085,1.0
1570760056,1.0
1570762800,1.0
1570770000,1.0
1570773600,1.0
1570777200,1.0
1570777574,1.0
1570778268,1.0
1570778839,1.0
1570780008,1.0
1570780800,1.0
1570781159,1.0
1570781604,1.0
1570782045,1.0
1570782920,1.0
1570783794,1.0
1570784400,1.0
1570785268,1.0
1570786214,1.0
1570787161,1.0
1570788000,1.0
1570788369,1.0
1570789107,1.0
1570789845,1.0
1570790887,1.0
1570791600,1.0
1570793655,1.0
1570795200,1.0
1570796280,1.0
1570798440,1.0
1570798800,1.0
1570799880,1.0
1570802040,1.0
1570802400,1.0
1570803480,1.0
1570805640,1.0
1570806000,1.0
1570809600,1.0
1570813200,1.0
1570816800,1.0
1570820400,1.0
1570824000,1.0
1570827600,1.0
1570831200,1.0
1570831848,1.0
1570833144,1.0
1570834800,1.0
1570835366,1.0
1570836499,1.0
1570837631,1.0
1570838400,1.0
1570839532,1.0
1570841798,1.0
1570844265,1.0
1570845600,1.0
1570849200,1.0
1570852800,1.0
1570856400,1.0
1570860000,1.0
1570863600,1.0
1570863924,1.0
1570864572,1.0
1570865406,1.0
1570866489,1.0
1570867200,1.0
1570867551,1.0
1570868201,1.0
1570868574,1.0
1570869302,1.0
1570870583,1.0
1570874400,1.0
1570878000,1.0
1570878324,1.0
1570878972,1.0
1570879620,1.0
1570880268,1.0
1570881600,1.0
1570883518,1.0
1570885200,1.0
1570888800,1.0
1570892400,1.0
1570896000,1.0
1570896648,1.0
1570897944,1.0
1570899600,1.0
1570901764,1.0
1570903200,1.0
1570906800,1.0
1570910400,1.0
1570914000,1.0
1570917600,1.0
1570921200,1.0
1570921524,1.0
1570922172,1.0
1570922820,1.0
1570923468,1.0
1570924605,1.0
1570924959,1.0
1570925278,1.0
1570925662,1.0
1570926140,1.0
1570926923,1.0
1570928400,1.0
1570930053,1.0
1570932000,1.0
1570935307,1.0
1570939200,1.0
1570940280,1.0
1570942440,1.0
1570942800,1.0
1570946400,1.0
1570950000,1.0
1570950600,1.0
1570950990,1.0
1570951568,1.0
1570952334,1.0
1570953600,1.0
1570953947,1.0
1570954404,1.0
1570954772,1.0
1570955373,1.0
1570956301,1.0
1570957200,1.0
1570958626,1.0
1570960800,1.0
1570961656,1.0
1570963368,1.0
1570964400,1.0
