date,value
1569888000,46.002512
1569888360,51.820676
1569888686,52.268744
1569889090,52.249038
1569889584,52.247494
1569890101,52.247666
1569890772,52.247551
1569892011,52.247617
1569894174,52.247568
1569895200,52.247529
1569898800,52.555841
1569899124,52.562076
1569899772,52.556793
1569901176,52.523295
1569902400,52.497852
1569904123,52.496091
1569906000,52.495226
1569909446,52.383151
1569913200,52.25687
1569913528,52.528345
1569914136,53.166239
1569914706,53.760525
1569915844,54.946849
1569916800,55.943763
1569917143,56.001357
1569917602,55.996856
1569918390,55.997017
1569919231,55.996958
1569920993,55.997005
1569924000,55.997016
1569928209,55.718358
1569934800,55.267294
1569935283,55.184095
1569936249,54.991516
1569937728,54.680356
1569938400,54.538767
1569938911,54.503229
1569939382,54.505903
1569939854,54.506246
1569940858,54.505448
1569941861,54.506145
1569943176,54.505574
1569945317,54.506054
1569948731,54.709897
1569949200,54.740553
1569952800,54.588369
1569956400,54.509742
1569960000,54.742316
1569960324,54.750752
1569960972,54.756004
1569962584,54.753039
1569964706,54.755238
1569966828,54.753562
1569967200,54.753022
1569967620,54.792902
1569968460,54.899928
1569969301,55.021174
1569970341,55.161892
1569970800,55.223075
1569971119,54.978143
1569971704,54.373481
1569972231,53.834221
1569973283,52.754157
1569974335,51.6745
1569974800,51.558596
1569975239,51.588723
1569975595,51.608018
1569976488,51.657404
1569977844,51.732158
1569981184,51.957916
1569981600,51.98632
1569982680,52.023107
1569984840,52.084261
1569985200,52.093046
1569988800,52.240019
1569989977,52.31571
1569991119,52.395192
1569992400,52.483687
1569994462,52.417013
1569996000,52.361819
1569999124,52.469532
1569999600,52.486225
1569999929,52.765021
1570000498,53.326242
1570001007,53.820965
1570002444,55.221091
1570003200,55.957244
1570003618,56.008877
1570004020,56.018916
1570005352,56.06505
1570006203,56.094453
1570006800,56.115051
1570007404,56.104435
1570008614,56.066392
1570009824,56.022022
1570010400,56.001731
1570010762,56.014226
1570011488,56.05726
1570012214,56.111059
1570013310,56.18487
1570014000,56.231781
1570015336,56.147249
1570017600,55.968758
1570018791,55.821418
1570021175,55.525354
1570021524,55.492824
1570022172,55.443726
1570024800,55.26396
1570026910,55.158272
1570028400,55.084648
1570032000,55.006631
1570035600,54.766505
1570039200,55.062029
1570040208,55.058012
1570042225,55.02018
1570042800,55.005143
1570044816,54.875427
1570046400,54.770543
1570047480,54.711703
1570049640,54.605841
1570050000,54.589535
1570050324,54.606059
1570050972,54.668719
1570051620,54.75095
1570052458,54.846714
1570053600,54.981411
1570053979,54.997267
1570054738,55.005826
1570056658,55.000408
1570057200,54.998108
1570057666,54.593239
1570058044,54.223719
1570058501,53.779987
1570059664,52.650454
1570060800,51.548466
1570061301,51.498667
1570061911,51.502586
1570062332,51.50269
1570063151,51.502664
1570063970,51.502715
1570064400,51.50275
1570067316,51.691572
1570068000,51.736231
1570068324,51.745204
1570068972,51.747818
1570071098,51.729087
1570071600,51.721808
1570074281,51.743213
1570075200,51.750357
1570078800,51.750939
1570082400,51.703768
1570086000,51.748582
1570086306,51.99683
1570086874,52.556665
1570087361,53.030516
1570088611,54.247306
1570089600,55.209549
1570089915,55.261357
1570090490,55.275411
1570090830,55.287499
1570091383,55.306632
1570092347,55.339832
1570093200,55.369177
1570095958,55.28601
1570096800,55.260024
1570100400,55.251574
1570104000,55.13306
1570107600,54.772629
1570111200,54.518569
1570114800,54.1046
1570115124,54.085694
1570115772,54.064697
1570117414,54.035002
1570118400,54.015595
1570118892,53.962242
1570119877,53.832808
1570121217,53.643768
1570122000,53.534224
1570123695,53.640181
1570125600,53.781088
1570126137,53.808166
1570126661,53.797869
1570127186,53.790647
1570128407,53.774482
1570129200,53.763343
1570129529,53.771297
1570130463,53.83456
1570131396,53.900171
1570132522,53.976772
1570133368,54.018178
1570134506,54.052127
1570136400,54.102827
1570138435,54.313851
1570140000,54.480354
1570141080,54.566432
1570143240,54.718061
1570143600,54.740971
1570143905,54.497112
1570144437,53.947015
1570144957,53.413853
1570146030,52.311974
1570147200,51.112029
1570147535,51.061609
1570148107,51.095903
1570148445,51.114409
1570149140,51.152588
1570150800,51.244157
1570153013,51.394439
1570154400,51.489062
1570158000,51.620178
1570161600,51.747597
1570165200,51.507281
1570168800,51.337724
1570172400,51.258463
1570172807,51.616096
1570173229,52.06075
1570173651,52.50021
1570174589,53.477244
1570176000,54.948304
1570176391,55.012283
1570176739,55.018171
1570177591,55.041819
1570179600,55.097155
1570181758,55.047016
1570183200,55.011269
1570186564,55.003077
1570190400,54.837277
1570194000,54.7582
1570194324,54.728408
1570194972,54.648202
1570195778,54.532372
1570196800,54.393597
1570197600,54.285134
1570198167,54.24824
1570199301,54.202207
1570202607,54.093355
1570204800,54.017616
1570205792,54.00998
1570207776,54.008228
1570208400,54.009961
1570211102,53.834652
1570212000,53.775738
1570215600,53.76117
1570219200,53.754338
1570225123,53.958699
1570226400,54.002725
1570227048,54.07646
1570228344,54.249875
1570230000,54.482347
1570230453,54.127554
1570230896,53.701481
1570231444,53.188826
1570232200,52.481708
1570233393,51.363246
1570233707,51.142086
1570234126,51.14031
1570234469,51.154242
1570234812,51.165805
1570235473,51.188448
1570237200,51.248105
1570238973,51.254009
1570242521,51.254838
1570248613,51.254084
1570251600,51.253754
1570253986,51.223939
1570255200,51.208338
1570258800,51.2521
1570259116,51.529118
1570259706,52.190091
1570260212,52.752934
1570261459,54.138335
1570262400,55.184503
1570262731,55.256599
1570263106,55.258912
1570263409,55.26253
1570263800,55.268187
1570264631,55.279553
1570265824,55.296096
1570269600,55.490096
1570270680,55.498784
1570272840,55.50067
1570273200,55.499336
1570274009,55.386914
1570275628,55.115326
1570276800,54.908535
1570278418,54.730495
1570280400,54.520458
1570283637,54.295042
1570290113,53.848136
1570294800,53.52595
1570302000,53.27404
1570309200,53.264189
1570312800,53.260655
1570313772,53.431338
1570315716,53.826384
1570316400,53.973911
1570316924,53.540531
1570317445,53.000197
1570318062,52.376595
1570318679,51.751732
1570319296,51.127211
1570319913,50.503162
1570320661,50.385344
1570321983,50.430185
1570323305,50.494272
1570325486,50.627347
1570327200,50.739883
1570330800,50.946083
1570334400,51.003401
1570334724,50.992045
1570335372,50.954253
1570336020,50.9064
1570338000,50.771331
1570339993,50.821423
1570341600,50.868171
1570341927,50.896811
1570342629,50.969404
1570343520,51.061521
1570345041,51.218805
1570348143,54.263798
1570348800,54.940465
1570349246,55.015539
1570349711,55.022683
1570350017,55.031428
1570350666,55.049286
1570351624,55.075769
1570352400,55.097224
1570354921,55.199248
1570356000,55.24311
1570359600,55.251001
1570363200,55.014837
1570363524,55.006317
1570364172,55.001029
1570365884,55.004048
1570366800,55.006934
1570369172,54.851109
1570370400,54.769311
1570371480,54.597552
1570373640,54.228127
1570374000,54.16367
1570377479,53.109013
1570381200,52.545749
1570384800,52.035192
1570386960,52.023619
1570388400,52.018656
1570388724,52.061834
1570389372,52.180944
1570390350,52.390884
1570391582,52.641433
1570392000,52.724722
1570394852,52.488783
1570395600,52.424724
1570396680,52.493163
1570398840,52.706878
1570399200,52.750305
1570401360,53.040616
1570402800,53.23597
1570403124,53.000946
1570403772,52.452673
1570404420,51.878232
1570405068,51.324363
1570406228,50.312448
1570406561,50.144006
1570406883,50.15923
1570407378,50.223162
1570407873,50.269209
1570408710,50.357734
1570410000,50.490747
1570411512,50.693024
1570413600,50.978244
1570416624,50.887245
1570417200,50.869227
1570417524,50.895602
1570418172,50.991708
1570419147,51.176803
1570420385,51.392983
1570420800,51.463335
1570421207,51.517629
1570421621,51.546367
1570422000,51.572437
1570422519,51.608541
1570423039,51.644272
1570424027,51.712565
1570424400,51.738334
1570425731,51.669639
1570428000,51.521191
1570428718,51.535541
1570430293,51.65077
1570431600,51.739164
1570432062,52.190217
1570432394,52.564481
1570432836,53.05291
1570433686,53.999906
1570435200,55.682393
1570435514,55.744432
1570435999,55.727109
1570436782,55.70003
1570438547,55.639009
1570439329,55.665166
1570440388,55.766711
1570441447,55.881799
1570442400,55.979601
1570442788,55.957466
1570443565,55.866956
1570444342,55.750496
1570445119,55.64771
1570446000,55.528186
1570446446,55.49152
1570447339,55.441035
1570449600,55.335476
1570450182,55.228692
1570451346,54.973316
1570452816,54.631615
1570453200,54.541584
1570453734,54.486168
1570454802,54.404695
1570456800,54.270664
1570459692,54.126724
1570460400,54.091681
1570464000,54.012931
1570465080,53.946158
1570467240,53.79885
1570467600,53.772764
1570467913,53.764257
1570468539,53.758924
1570470642,53.76201
1570473556,53.759527
1570476471,53.761585
1570478400,53.763123
1570482000,53.882909
1570483080,53.979548
