date,value
1569888000,2.0
1569888360,2.0
1569888686,2.0
1569889090,2.0
1569889584,2.0
1569890101,2.0
1569890772,2.0
1569892011,2.0
1569894174,2.0
1569895200,2.0
1569898800,0.7
1569899124,0.727
1569899772,0.781
1569901176,0.89800627
1569902400,1.0
1569904123,1.0
1569906000,1.0
1569909446,1.4787194
1569913200,2.0
1569913528,2.0
1569914136,2.0
1569914706,2.0
1569915844,2.0
1569916800,2.0
1569917143,2.0
1569917602,2.0
1569918390,2.0
1569919231,2.0
1569920993,2.0
1569924000,2.0
1569928209,3.1694176
1569934800,5.0
1569935283,5.4026311
1569936249,6.2078933
1569937728,7.440167
1569938400,8.0
1569938911,8.0
1569939382,8.0
1569939854,8.0
1569940858,8.0
1569941861,8.0
1569943176,8.0
1569945317,8.0
1569948731,7.130224
1569949200,7.0
1569952800,7.7
1569956400,8.0
1569960000,7.0
1569960324,7.0
1569960972,7.0
1569962584,7.0
1569964706,7.0
1569966828,7.0
1569967200,7.0
1569967620,6.7665383
1569968460,6.2996148
1569969301,5.8326914
1569970341,5.2548567
1569970800,5.0
1569971119,4.9822563
1569971704,4.9497325
1569972231,4.9204881
1569973283,4.8620421
1569974335,4.803596
1569974800,4.7109328
1569975239,4.6135032
1569975595,4.5343538
1569976488,4.3358146
1569977844,4.0344556
1569981184,3.1155502
1569981600,3.0
1569982680,2.88
1569984840,2.64
1569985200,2.6
1569988800,2.0
1569989977,1.6729363
1569991119,1.3557277
1569992400,1.0
1569994462,1.3437484
1569996000,1.6
1569999124,1.079315
1569999600,1.0
1569999929,1.0914744
1570000498,1.2496232
1570001007,1.3908627
1570002444,1.7901065
1570003200,2.0
1570003618,1.9418365
1570004020,1.8860348
1570005352,1.701081
1570006203,1.5828269
1570006800,1.5
1570007404,1.5840028
1570008614,1.7520085
1570009824,1.9200141
1570010400,2.0
1570010762,1.8991966
1570011488,1.6975898
1570012214,1.4959831
1570013310,1.1916525
1570014000,1.0
1570015336,1.4454689
1570017600,2.2
1570018791,2.7959176
1570021175,3.9877527
1570021524,4.09
1570022172,4.27
1570024800,5.0
1570026910,5.4103299
1570028400,5.7
1570032000,6.0
1570035600,7.0
1570039200,5.7
1570040208,5.7840371
1570042225,5.9521114
1570042800,6.0
1570044816,6.5602475
1570046400,7.0
1570047480,7.21
1570049640,7.63
1570050000,7.7
1570050324,7.547
1570050972,7.241
1570051620,6.935
1570052458,6.5392645
1570053600,6.0
1570053979,6.0
1570054738,6.0
1570056658,6.0
1570057200,6.0
1570057666,5.8703161
1570058044,5.7654871
1570058501,5.6383554
1570059664,5.3152917
1570060800,5.0
1570061301,5.0
1570061911,5.0
1570062332,5.0
1570063151,5.0
1570063970,5.0
1570064400,5.0
1570067316,4.1899488
1570068000,4.0
1570068324,4.009
1570068972,4.027
1570071098,4.0860765
1570071600,4.1
1570074281,4.0255211
1570075200,4.0
1570078800,4.0
1570082400,4.2
1570086000,4.0
1570086306,4.0850532
1570086874,4.242865
1570087361,4.3782134
