date,value
1569888000,1.01325
1569888360,1.0455468
1569888686,1.0456596
1569889090,1.0456689
1569889584,1.0456682
1569890101,1.0456683
1569890772,1.0456682
1569892011,1.0456683
1569894174,1.0456682
1569895200,1.0456682
1569898800,1.0456389
1569899124,1.0456391
1569899772,1.0456407
1569901176,1.0456435
1569902400,1.0456457
1569904123,1.0456457
1569906000,1.0456457
1569909446,1.0456566
1569913200,1.0456684
1569913528,1.0456273
1569914136,1.0455719
1569914706,1.0455213
1569915844,1.0454195
1569916800,1.0453339
1569917143,1.0453466
1569917602,1.0453475
1569918390,1.0453474
1569919231,1.0453475
1569920993,1.0453474
1569924000,1.0453474
1569928209,1.0453741
1569934800,1.0454158
1569935283,1.0454246
1569936249,1.0454434
1569937728,1.0454713
1569938400,1.0454838
1569938911,1.0454846
1569939382,1.0454834
1569939854,1.045484
1569940858,1.0454838
1569941861,1.0454839
1569943176,1.0454839
1569945317,1.0454839
1569948731,1.0454642
1569949200,1.0454613
1569952800,1.0454771
1569956400,1.045484
1569960000,1.0454613
1569960324,1.045461
1569960972,1.0454613
1569962584,1.0454614
1569964706,1.0454612
1569966828,1.0454614
1569967200,1.0454615
1569967620,1.0454565
1569968460,1.0454453
1569969301,1.0454347
1569970341,1.0454218
1569970800,1.0454161
1569971119,1.0454556
1569971704,1.0455088
1569972231,1.0455546
1569973283,1.0456473
1569974335,1.0457391
1569974800,1.0457299
1569975239,1.0457276
1569975595,1.0457262
1569976488,1.0457214
1569977844,1.0457149
1569981184,1.045694
1569981600,1.0456913
1569982680,1.0456886
1569984840,1.0456833
1569985200,1.0456824
1569988800,1.0456688
1569989977,1.0456613
1569991119,1.0456542
1569992400,1.0456463
1569994462,1.0456539
1569996000,1.0456596
1569999124,1.0456481
1569999600,1.0456463
1569999929,1.0456062
1570000498,1.0455588
1570001007,1.0455168
1570002444,1.0453971
1570003200,1.045334
1570003618,1.0453464
1570004020,1.0453448
1570005352,1.0453407
1570006203,1.045338
1570006800,1.0453361
1570007404,1.0453379
1570008614,1.045342
1570009824,1.0453457
1570010400,1.0453475
1570010762,1.0453456
1570011488,1.0453406
1570012214,1.0453359
1570013310,1.0453292
1570014000,1.0453249
1570015336,1.0453347
1570017600,1.0453521
1570018791,1.0453657
1570021175,1.0453929
1570021524,1.0453954
1570022172,1.0453993
1570024800,1.0454157
1570026910,1.0454252
1570028400,1.0454318
1570032000,1.0454386
1570035600,1.0454613
1570039200,1.0454319
1570040208,1.0454335
1570042225,1.0454377
1570042800,1.0454389
1570044816,1.0454514
1570046400,1.0454612
1570047480,1.0454662
1570049640,1.0454757
1570050000,1.0454772
1570050324,1.0454744
1570050972,1.0454669
1570051620,1.0454596
1570052458,1.0454511
1570053600,1.0454386
1570053979,1.0454382
1570054738,1.0454387
1570056658,1.0454388
1570057200,1.0454386
1570057666,1.0454908
1570058044,1.0455219
1570058501,1.0455595
1570059664,1.0456561
1570060800,1.0457496
1570061301,1.045736
1570061911,1.0457368
1570062332,1.0457369
1570063151,1.0457367
1570063970,1.0457369
1570064400,1.0457371
1570067316,1.0457186
1570068000,1.0457142
1570068324,1.0457141
1570068972,1.0457148
1570071098,1.0457163
1570071600,1.0457165
1570074281,1.0457148
1570075200,1.0457142
1570078800,1.0457143
1570082400,1.0457188
1570086000,1.0457143
1570086306,1.0456767
1570086874,1.0456289
1570087361,1.0455888
1570088611,1.0454849
1570089600,1.0454031
1570089915,1.0454141
1570090490,1.0454134
1570090830,1.0454123
1570091383,1.0454106
1570092347,1.0454075
1570093200,1.0454048
1570095958,1.0454135
1570096800,1.0454162
1570100400,1.0454163
1570104000,1.0454276
1570107600,1.0454617
1570111200,1.0454845
1570114800,1.0455231
1570115124,1.0455241
1570115772,1.045525
1570117414,1.045528
1570118400,1.04553
1570118892,1.0455358
1570119877,1.0455487
1570121217,1.0455655
1570122000,1.0455752
1570123695,1.0455627
1570125600,1.0455482
1570126137,1.0455481
1570126661,1.0455499
1570127186,1.0455499
1570128407,1.0455517
1570129200,1.0455528
1570129529,1.045551
1570130463,1.0455443
1570131396,1.0455389
1570132522,1.0455316
1570133368,1.0455283
1570134506,1.0455257
1570136400,1.0455209
1570138435,1.0455005
1570140000,1.0454847
1570141080,1.0454777
1570143240,1.0454643
1570143600,1.0454621
1570143905,1.0455004
1570144437,1.0455486
1570144957,1.045594
1570146030,1.0456882
1570147200,1.0457906
1570147535,1.0457776
1570148107,1.0457731
1570148445,1.0457714
1570149140,1.0457679
1570150800,1.0457596
1570153013,1.0457457
1570154400,1.045737
1570158000,1.0457257
1570161600,1.0457144
1570165200,1.0457371
1570168800,1.045753
1570172400,1.0457598
1570172807,1.0457109
1570173229,1.0456726
1570173651,1.0456357
1570174589,1.0455517
1570176000,1.0454258
1570176391,1.0454379
1570176739,1.0454375
1570177591,1.0454352
1570179600,1.0454302
1570181758,1.0454356
1570183200,1.0454392
1570186564,1.0454393
1570190400,1.0454552
1570194000,1.0454621
1570194324,1.0454657
1570194972,1.0454743
1570195778,1.0454847
1570196800,1.0454972
1570197600,1.0455071
1570198167,1.0455095
1570199301,1.0455127
1570202607,1.0455232
1570204800,1.0455302
1570205792,1.0455302
1570207776,1.04553
1570208400,1.04553
1570211102,1.0455471
1570212000,1.0455528
1570215600,1.0455528
1570219200,1.0455528
1570225123,1.0455342
1570226400,1.0455301
1570227048,1.0455222
1570228344,1.0455055
1570230000,1.0454848
1570230453,1.0455344
1570230896,1.0455688
1570231444,1.0456133
1570232200,1.0456725
1570233393,1.045768
1570233707,1.045781
1570234126,1.0457693
1570234469,1.0457684
1570234812,1.0457674
1570235473,1.0457653
1570237200,1.0457599
1570238973,1.0457599
1570242521,1.0457599
1570248613,1.0457599
1570251600,1.0457599
1570253986,1.0457629
1570255200,1.0457645
1570258800,1.04576
1570259116,1.0457182
1570259706,1.0456605
1570260212,1.0456124
1570261459,1.0454932
1570262400,1.0454035
1570262731,1.0454147
1570263106,1.0454159
1570263409,1.0454154
1570263800,1.0454149
1570264631,1.0454138
1570265824,1.0454123
1570269600,1.045394
1570270680,1.0453939
1570272840,1.0453941
1570273200,1.0453941
1570274009,1.0454064
1570275628,1.0454326
1570276800,1.0454511
1570278418,1.0454663
1570280400,1.0454849
1570283637,1.0455053
1570290113,1.0455461
1570294800,1.0455756
1570302000,1.0455983
1570309200,1.0455984
1570312800,1.0455984
1570313772,1.0455803
1570315716,1.045543
1570316400,1.0455299
1570316924,1.0455896
1570317445,1.0456334
1570318062,1.0456878
1570318679,1.0457403
1570319296,1.0457942
1570319913,1.0458695
1570320661,1.0458852
1570321983,1.0458768
1570323305,1.0458686
1570325486,1.0458485
1570327200,1.0458314
1570330800,1.045796
1570334400,1.045783
1570334724,1.045785
1570335372,1.0457941
1570336020,1.0458061
1570338000,1.0458277
1570339993,1.04582
1570341600,1.0458117
1570341927,1.0458084
1570342629,1.0457901
1570343520,1.0457763
1570345041,1.0457619
1570348143,1.0454912
1570348800,1.0454311
1570349246,1.0454447
1570349711,1.0454429
1570350017,1.0454418
1570350666,1.0454405
