date,value
1569888000,20.0
1569888360,15.652558
1569888686,16.377704
1569889090,16.435427
1569889584,16.431257
1569890101,16.431663
1569890772,16.43152
1569892011,16.431572
1569894174,16.431544
1569895200,16.431516
1569898800,16.099656
1569899124,16.101894
1569899772,16.117463
1569901176,16.14891
1569902400,16.174146
1569904123,16.174723
1569906000,16.174947
1569909446,16.296753
1569913200,16.430238
1569913528,16.525891
1569914136,16.895398
1569914706,17.24951
1569915844,17.955898
1569916800,18.549652
1569917143,18.660373
1569917602,18.665228
1569918390,18.664936
1569919231,18.664894
1569920993,18.664909
1569924000,18.66492
1569928209,18.963194
1569934800,19.43282
1569935283,19.531356
1569936249,19.740519
1569937728,20.056958
1569938400,20.20018
1569938911,20.209861
1569939382,20.202405
1569939854,20.206407
1569940858,20.204557
1569941861,20.205589
1569943176,20.205054
1569945317,20.205346
1569948731,19.983774
1569949200,19.950557
1569952800,20.126651
1569956400,20.204831
1569960000,19.950361
1569960324,19.947106
1569960972,19.948091
1569962584,19.949014
1569964706,19.947787
1569966828,19.949124
1569967200,19.949512
1569967620,19.894368
1569968460,19.771601
1569969301,19.651165
1569970341,19.504552
1569970800,19.439905
1569971119,19.337534
1569971704,18.976955
1569972231,18.643253
1569973283,17.977051
1569974335,17.309867
1569974800,17.129898
1569975239,17.104023
1569975595,17.084104
1569976488,17.032741
1569977844,16.955564
1569981184,16.719695
1569981600,16.690025
1569982680,16.657778
1569984840,16.596836
1569985200,16.587047
1569988800,16.432503
1569989977,16.34832
1569991119,16.267941
1569992400,16.17695
1569994462,16.261444
1569996000,16.3258
1569999124,16.196415
1569999600,16.176641
1569999929,16.284647
1570000498,16.678043
1570001007,17.029798
1570002444,18.025282
1570003200,18.548782
1570003618,18.652563
1570004020,18.636556
1570005352,18.589015
1570006203,18.558637
1570006800,18.537361
1570007404,18.556271
1570008614,18.600756
1570009824,18.643639
1570010400,18.663911
1570010762,18.642517
1570011488,18.589185
1570012214,18.536353
1570013310,18.459991
1570014000,18.410977
1570015336,18.519338
1570017600,18.713256
1570018791,18.866162
1570021175,19.172183
1570021524,19.200894
1570022172,19.246146
1570024800,19.432767
1570026910,19.539252
1570028400,19.614081
1570032000,19.691269
1570035600,19.946674
1570039200,19.617289
1570040208,19.634679
1570042225,19.679476
1570042800,19.693137
1570044816,19.833662
1570046400,19.945195
1570047480,20.001573
1570049640,20.108938
1570050000,20.126257
1570050324,20.095071
1570050972,20.013895
1570051620,19.932645
1570052458,19.83449
1570053600,19.693838
1570053979,19.689186
1570054738,19.691627
1570056658,19.692176
1570057200,19.69156
1570057666,19.488301
1570058044,19.225521
1570058501,18.908735
1570059664,18.10601
1570060800,17.321581
1570061301,17.197669
1570061911,17.202919
1570062332,17.20222
1570063151,17.202489
1570063970,17.202372
1570064400,17.202249
1570067316,16.996002
1570068000,16.947569
1570068324,16.945708
1570068972,16.951756
1570071098,16.968107
1570071600,16.971401
1570074281,16.952038
1570075200,16.945424
1570078800,16.945412
1570082400,16.996475
1570086000,16.945818
1570086306,17.042543
1570086874,17.430974
1570087361,17.768469
1570088611,18.633312
1570089600,19.31771
1570089915,19.417041
1570090490,19.404094
1570090830,19.391688
1570091383,19.372263
1570092347,19.337729
1570093200,19.30708
1570095958,19.403815
1570096800,19.433416
1570100400,19.435097
1570104000,19.562385
1570107600,19.94579
1570111200,20.203753
1570114800,20.639019
1570115124,20.650358
1570115772,20.662648
1570117414,20.696562
1570118400,20.718392
1570118892,20.78432
1570119877,20.926944
1570121217,21.118165
1570122000,21.229457
1570123695,21.090779
1570125600,20.929737
1570126137,20.927503
1570126661,20.942166
1570127186,20.945331
1570128407,20.965172
1570129200,20.976757
1570129529,20.957155
1570130463,20.88515
1570131396,20.821873
1570132522,20.739577
1570133368,20.702293
1570134506,20.671266
1570136400,20.616804
1570138435,20.386832
1570140000,20.209141
1570141080,20.129114
1570143240,19.976095
1570143600,19.951353
1570143905,19.862056
1570144437,19.53403
1570144957,19.204175
1570146030,18.524524
1570147200,17.783285
1570147535,17.657897
1570148107,17.613926
1570148445,17.595245
1570149140,17.555247
1570150800,17.460263
1570153013,17.302896
1570154400,17.204178
1570158000,17.074497
1570161600,16.945549
1570165200,17.201675
1570168800,17.381204
1570172400,17.459084
1570172807,17.594417
1570173229,17.854151
1570173651,18.118913
1570174589,18.699249
1570176000,19.574859
1570176391,19.679816
1570176739,19.671939
1570177591,19.646931
1570179600,19.589669
1570181758,19.649594
1570183200,19.690109
1570186564,19.691838
1570190400,19.870118
1570194000,19.948048
1570194324,19.988971
1570194972,20.083382
1570195778,20.200096
1570196800,20.343703
1570197600,20.456669
1570198167,20.483164
1570199301,20.521663
1570202607,20.639931
1570204800,20.718637
1570205792,20.719512
1570207776,20.718569
1570208400,20.718003
1570211102,20.909864
1570212000,20.973678
1570215600,20.9761
1570219200,20.97704
1570225123,20.765241
1570226400,20.719627
1570227048,20.631137
1570228344,20.444146
1570230000,20.208418
1570230453,19.999576
1570230896,19.671735
1570231444,19.273777
1570232200,18.725401
1570233393,17.85819
1570233707,17.652047
1570234126,17.568851
1570234469,17.557168
1570234812,17.545615
1570235473,17.521634
1570237200,17.460207
1570238973,17.459174
1570242521,17.459598
1570248613,17.459268
1570251600,17.459105
1570253986,17.493092
1570255200,17.510407
1570258800,17.45983
1570259116,17.524209
1570259706,17.840027
1570260212,18.118933
1570261459,18.803406
1570262400,19.320811
1570262731,19.42053
1570263106,19.426009
1570263409,19.420822
1570263800,19.415228
1570264631,19.40348
1570265824,19.386375
1570269600,19.179675
1570270680,19.177705
1570272840,19.178536
1570273200,19.179115
1570274009,19.316355
1570275628,19.608032
1570276800,19.817451
1570278418,19.991372
1570280400,20.203295
1570283637,20.434676
1570290113,20.896634
1570294800,21.230831
1570302000,21.488376
1570309200,21.489775
1570312800,21.490259
1570313772,21.288336
1570315716,20.868836
1570316400,20.72022
1570316924,20.501776
1570317445,20.157283
1570318062,19.758845
1570318679,19.358965
1570319296,18.959352
1570319913,18.559902
1570320661,18.377732
1570321983,18.285954
1570323305,18.253957
1570325486,18.098529
1570327200,17.968085
1570330800,17.768647
1570334400,17.716575
1570334724,17.736142
1570335372,17.784067
1570336020,17.83156
1570338000,17.971172
1570339993,17.903655
1570341600,17.847694
1570341927,17.812759
1570342629,17.736754
1570343520,17.641454
1570345041,17.478571
1570348143,19.172819
1570348800,19.557797
1570349246,19.682812
1570349711,19.666087
1570350017,19.657487
1570350666,19.639155
1570351624,19.611673
1570352400,19.589389
1570354921,19.482101
1570356000,19.436163
1570359600,19.434784
1570363200,19.689814
1570363524,19.693038
1570364172,19.692015
1570365884,19.691118
1570366800,19.691359
1570369172,19.85904
1570370400,19.946092
1570371480,20.136101
1570373640,20.522896
1570374000,20.588041
1570377479,21.70059
1570381200,22.258283
1570384800,22.774465
1570386960,22.775305
1570388400,22.775555
1570388724,22.714165
1570389372,22.571912
1570390350,22.359834
1570391582,22.099479
1570392000,22.011928
1570394852,22.305496
1570395600,22.382916
1570396680,22.278405
1570398840,22.043035
1570399200,22.001609
1570401360,21.698407
1570402800,21.494966
1570403124,21.317907
1570403772,20.851401
1570404420,20.311073
1570405068,19.803304
1570406228,18.874515
1570406561,18.654028
1570406883,18.55708
1570407378,18.514138
1570407873,18.461404
1570408710,18.369602
1570410000,18.232648
1570411512,18.017642
1570413600,17.719652
1570416624,17.84426
1570417200,17.8681
1570417524,17.819637
1570418172,17.695218
1570419147,17.510331
1570420385,17.285662
1570420800,17.211313
1570421207,17.172464
1570421621,17.145281
1570422000,17.117941
1570422519,17.081032
1570423039,17.044038
1570424027,16.973499
1570424400,16.946876
1570425731,17.037736
1570428000,17.200391
1570428718,17.154782
1570430293,17.037663
1570431600,16.947732
1570432062,17.08141
1570432394,17.264654
1570432836,17.508589
1570433686,17.97518
1570435200,18.807774
