delta time[s],outdoor temperature[°C],flow temperature[°C],return flow temperature[°C],f-r diff[K],room temperature[°C],pump I/O,boiler heating temperature[°C],pressure[bar],drinking water temperature boiler[°C],drinking water temperature house supply[°C],boiler I/O
0,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
8.353404E-13,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
1.336545E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
1.486906E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
1.637267E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
1.862809E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
2.088351E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.01325,20,12.547,1
2.995984E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.0132501,20,12.547,1
3.903616E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.0132501,20,12.547,1
4.811249E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.0132501,20,12.547,1
7.308938E-12,8.49,50.002512,44,6.0025123,20,1,58.85,1.0132502,20,12.547,1
1.076991E-11,8.49,50.002512,44,6.0025123,20,1,58.85,1.0132502,20,12.547,1
1.586018E-11,8.49,50.002512,44,6.0025123,20,1,58.85,1.0132503,20,12.547,1
2.606988E-11,8.49,50.002512,44,6.0025122,20,1,58.85,1.0132506,20,12.547,1
3.627958E-11,8.49,50.002512,44,6.0025122,20,1,58.85,1.0132508,20,12.547,1
5.947789E-11,8.49,50.002512,44,6.0025121,20,1,58.85,1.0132513,20,12.547,1
6.643739E-11,8.49,50.002512,44,6.0025121,20,1,58.85,1.0132515,20,12.547,1
7.339688E-11,8.49,50.002512,44,6.0025121,20,1,58.85,1.0132516,20,12.547,1
8.265941E-11,8.49,50.002512,44,6.0025121,20,1,58.85,1.0132518,20,12.547,1
9.192193E-11,8.49,50.002512,44,6.002512,20,1,58.85,1.013252,20,12.547,1
1.011845E-10,8.49,50.002512,44,6.002512,20,1,58.85,1.0132522,20,12.547,1
1.360807E-10,8.49,50.002512,44,6.002512,20,1,58.85,1.013253,20,12.547,1
1.709769E-10,8.49,50.002512,44,6.002512,20,1,58.85,1.0132538,20,12.547,1
2.058731E-10,8.49,50.002512,44,6.0025119,20,1,58.85,1.0132546,20,12.547,1
