delta time[s],outdoor temperature[°C],flow temperature boiler[°C],return flow temperature boiler[°C],return flow temperature[°C],room temperature[°C],pump I/O,boiler heating temperature[°C],flow temperature[°C],boiler I/O
0,12,46.002512,38,37,20,1,48.85,44,1
3.109131E-11,12,46.002512,38,37,20,1,48.85,44,1
4.974609E-11,12,46.002512,38,37,20,1,48.85,44,1
6.840087E-11,12,46.002512,38,37,20,1,48.85,44,1
7.679552E-11,12,46.002512,38,37,20,1,48.85,44,1
8.519017E-11,12,46.002512,38,37,20,1,48.85,44,1
9.358483E-11,12,46.002512,38,37,20,1,48.85,44,1
1.199326E-10,12,46.002512,38,37,20,1,48.85,44,1
1.462804E-10,12,46.002512,38,37,20,1,48.85,44,1
1.726282E-10,12,46.002512,38,37,20,1,48.85,44,1
1.98976E-10,12,46.002512,38,37,20,1,48.85,44,1
2.823191E-10,12,46.002512,38,37,20,1,48.85,44,1
3.07322E-10,12,46.002512,38,37,20,1,48.85,44,1
3.32325E-10,12,46.002512,38,37,20,1,48.85,44,1
3.698293E-10,12,46.002512,38,37,20,1,48.85,44,1
4.073337E-10,12,46.002512,38,37,20,1,48.85,44,1
5.289942E-10,12,46.002512,38,37,20,1,48.85,44,1
6.506546E-10,12,46.002512,38,37,20,1,48.85,44,1
7.723151E-10,12,46.002512,38,37,20,1,48.85,44,1
0.000000001,12,46.002511,38,37,20,1,48.85,44,1
0.000000002,12,46.002511,38,37,20,1,48.85,44,1
0.000000002,12,46.002511,38,37,20,1,48.85,44,1
0.000000004,12,46.002511,38,37,20,1,48.85,44,1
0.000000005,12,46.00251,38,37,20,1,48.85,44,1
0.000000008,12,46.00251,38,36.999999,20,1,48.85,43.999999,1
0.000000011,12,46.002509,38,36.999999,20,1,48.85,43.999999,1
0.000000019,12,46.002507,38,36.999998,20,1,48.85,43.999998,1
0.000000027,12,46.002506,38,36.999997,20,1,48.85,43.999997,1
0.000000032,12,46.002504,38.000006,36.999997,20,1,48.85,43.999997,1
0.000000034,12,46.002504,38.000001,36.999997,20,1,48.85,43.999997,1
0.000000035,12,46.002503,38.000005,36.999996,20,1,48.85,43.999996,1
0.000000038,12,46.002503,38.000001,36.999996,20,1,48.85,43.999996,1
0.00000004,12,46.002502,37.999984,36.999996,20,1,48.85,43.999996,1
0.000000042,12,46.002501,38,36.999996,20,1,48.85,43.999996,1
0.000000043,12,46.002501,38,36.999996,20,1,48.85,43.999996,1
0.000000044,12,46.0025,38,36.999996,20,1,48.85,43.999996,1
0.000000045,12,46.0025,38,36.999995,20,1,48.85,43.999995,1
0.00000005,12,46.002497,37.999999,36.999995,20,1,48.85,43.999995,1
0.000000057,12,46.002493,37.999999,36.999994,20,1,48.85,43.999994,1
0.00000007,12,46.002479,37.999999,36.999993,20,1,48.85,43.999993,1
0.000000083,12,46.002438,37.999998,36.999992,20,1,48.85,43.999992,1
0.000000112,12,46.001451,37.999997,36.999989,20,1,48.85,43.999989,1
0.000000142,12,45.999998,37.999996,36.999986,20,1,48.85,43.999986,1
0.000000161,12,45.999607,37.999996,36.999984,20,1,48.85,43.999984,1
0.000000179,12,45.999978,37.999995,36.999983,20,1,48.85,43.999983,1
0.000000198,12,45.999472,37.999995,36.999981,20,1,48.85,43.999981,1
0.000000292,12,45.996499,37.999992,36.999972,20,1,48.85,43.999972,1
0.000000385,12,46.003051,37.999989,36.999964,20,1,48.85,43.999964,1
0.000000611,12,45.999082,37.999983,36.999944,20,1,48.85,43.999944,1
0.000000836,12,46.000037,37.999978,36.999925,20,1,48.85,43.999925,1
0.000001269,12,46.000356,37.999969,36.99989,20,1,48.85,43.99989,1
0.000001703,12,46.00004,37.99996,36.999857,20,1,48.85,43.999857,1
0.000002474,12,46.000116,37.999948,36.999847,20,1,48.85,43.999847,1
0.000003246,12,46.00023,37.999937,36.999848,20,1,48.85,43.999848,1
0.000004017,12,46.000211,37.999928,36.99985,20,1,48.85,43.99985,1
0.000004789,12,46.000191,37.99992,36.999853,20,1,48.85,43.999853,1
0.000007271,12,46.003907,37.999901,36.999866,20,1,48.85,43.999866,1
0.000008016,12,46.00469,37.999897,36.999871,20,1,48.85,43.999871,1
0.000008761,12,46.004306,37.999893,36.999876,20,1,48.85,43.999876,1
0.000009505,12,46.003843,37.99989,36.999881,20,1,48.85,43.999882,1
0.000010541,12,46.004554,37.999886,36.99989,20,1,48.85,43.99989,1
0.000011576,12,46.005258,37.999883,36.999887,20,1,48.85,43.999888,1
0.000013225,12,46.005114,37.999879,36.999872,20,1,48.85,43.999873,1
0.000014874,12,46.005162,37.999876,36.999857,20,1,48.85,43.999858,1
0.000015369,12,46.005182,37.999875,36.999852,20,1,48.85,43.999854,1
0.000015863,12,46.005212,37.999874,36.999848,20,1,48.85,43.99985,1
0.000016363,12,46.00524,37.999874,36.999843,20,1,48.85,43.999846,1
0.000016862,12,46.005268,37.999873,36.999838,20,1,48.85,43.999841,1
0.000017011,12,46.005276,37.999873,36.999837,20,1,48.85,43.99984,1
0.000017161,12,46.005284,37.999873,36.999836,20,1,48.85,43.999839,1
0.000017386,12,46.005296,37.999873,36.999834,20,1,48.85,43.999837,1
0.000017453,12,46.0053,37.999873,36.999833,20,1,48.85,43.999836,1
0.00001752,12,46.005303,37.999873,36.999833,20,1,48.85,43.999836,1
0.000017621,12,46.005309,37.999873,36.999832,20,1,48.85,43.999835,1
0.000017652,12,46.00531,37.999873,36.999831,20,1,48.85,43.999835,1
0.000017682,12,46.005312,37.999873,36.999831,20,1,48.85,43.999834,1
0.000017727,12,46.005314,37.999873,36.999831,20,1,48.85,43.999834,1
0.000017773,12,46.005316,37.999873,36.99983,20,1,48.85,43.999834,1
0.000017787,12,46.005317,37.999873,36.99983,20,1,48.85,43.999834,1
0.0000178,12,46.005318,37.999873,36.99983,20,1,48.85,43.999833,1
0.000017814,12,46.005318,37.999873,36.99983,20,1,48.85,43.999833,1
0.000017882,12,46.005322,37.999873,36.999829,20,1,48.85,43.999833,1
0.000018223,12,46.005339,37.999873,36.999826,20,1,48.85,43.99983,1
0.000018564,12,46.005356,37.999872,36.999823,20,1,48.85,43.999827,1
0.000018905,12,46.005372,37.999872,36.99982,20,1,48.85,43.999824,1
0.000020611,12,46.005448,37.999872,36.999805,20,1,48.85,43.999811,1
0.000023369,12,46.005553,37.999872,36.999782,20,1,48.85,43.999789,1
0.000026128,12,46.00564,37.999873,36.999758,20,1,48.85,43.999769,1
0.000028403,12,46.005701,37.999874,36.99974,20,1,48.85,43.999753,1
0.000030677,12,46.005754,37.999875,36.999722,20,1,48.85,43.999738,1
0.000033261,12,46.005807,37.999877,36.999701,20,1,48.85,43.999722,1
0.000035845,12,46.005855,37.999879,36.99968,20,1,48.85,43.999706,1
0.000039721,12,46.005918,37.999882,36.999649,20,1,48.85,43.999684,1
0.000043597,12,46.005972,37.999886,36.999621,20,1,48.85,43.999663,1
0.000047473,12,46.006019,37.999889,36.999594,20,1,48.85,43.999644,1
0.000048636,12,46.006032,37.99989,36.999586,20,1,48.85,43.999638,1
0.000049798,12,46.006044,37.999891,36.999578,20,1,48.85,43.999633,1
0.000055612,12,46.006093,37.999896,36.999543,20,1,48.85,43.999607,1
0.000057357,12,46.006104,37.999898,36.999533,20,1,48.85,43.999601,1
0.00005788,12,46.006107,37.999898,36.999531,20,1,48.85,43.999599,1
0.000058403,12,46.00611,37.999899,36.999528,20,1,48.85,43.999597,1
0.000058606,12,46.006111,37.999899,36.999527,20,1,48.85,43.999596,1
0.000058809,12,46.006112,37.999899,36.999526,20,1,48.85,43.999595,1
0.000059473,12,46.006115,37.9999,36.999523,20,1,48.85,43.999594,1
0.000059672,12,46.006116,37.9999,36.999522,20,1,48.85,43.999594,1
0.000059871,12,46.006117,37.9999,36.999521,20,1,48.85,43.999594,1
0.000060398,12,46.006119,37.9999,36.999518,20,1,48.85,43.999593,1
0.000060925,12,46.00612,37.999901,36.999516,20,1,48.85,43.999593,1
0.000062081,12,46.006123,37.999902,36.999511,20,1,48.85,43.999592,1
0.000063237,12,46.006125,37.999903,36.999506,20,1,48.85,43.999591,1
0.00006569,12,46.006126,37.999905,36.999497,20,1,48.85,43.999589,1
0.000068144,12,46.006127,37.999907,36.999487,20,1,48.85,43.999586,1
0.000072903,12,46.006123,37.99991,36.99947,20,1,48.85,43.99958,1
0.000082197,12,46.006108,37.999916,36.999439,20,1,48.85,43.999566,1
0.000091491,12,46.006084,37.999922,36.999413,20,1,48.85,43.999551,1
0.000108601,12,46.006027,37.99993,36.999365,20,1,48.85,43.999519,1
0.000136363,12,46.005916,37.999939,36.999295,20,1,48.85,43.999465,1
0.000172406,12,46.005756,37.999948,36.999216,20,1,48.85,43.999393,1
0.000220619,12,46.005538,37.999956,36.999131,20,1,48.85,43.999298,1
0.000268832,12,46.00533,37.999963,36.999087,20,1,48.85,43.999208,1
0.000358386,12,46.004883,37.999973,36.999009,20,1,48.85,43.999064,1
0.00044794,12,46.004308,37.999981,36.998902,20,1,48.85,43.99895,1
0.000537494,12,46.003853,37.999987,36.998818,20,1,48.85,43.998855,1
0.000677521,12,46.003352,37.999994,36.998725,20,1,48.85,43.998751,1
0.000817548,12,46.003065,37.999998,36.998673,20,1,48.85,43.998691,1
0.000957575,12,46.002929,37.999999,36.998638,20,1,48.85,43.998662,1
0.000999583,12,46.002909,38,36.998624,20,1,48.85,43.998657,1
0.001041591,12,46.002894,38,36.998614,20,1,48.85,43.998654,1
0.001104603,12,46.00288,38,36.998603,20,1,48.85,43.99865,1
0.001167615,12,46.002873,38,36.998596,20,1,48.85,43.998648,1
0.001195971,12,46.002872,38,36.998597,20,1,48.85,43.998647,1
0.001224326,12,46.002871,38,36.998597,20,1,48.85,43.998647,1
0.001266859,12,46.002871,38,36.998597,20,1,48.85,43.998646,1
0.001309393,12,46.002871,38,36.998597,20,1,48.85,43.998646,1
0.001373193,12,46.002873,38,36.998598,20,1,48.85,43.998645,1
0.001436992,12,46.002875,38,36.998598,20,1,48.85,43.998645,1
0.001532692,12,46.00288,38,36.998598,20,1,48.85,43.998645,1
0.001628392,12,46.002885,38,36.998598,20,1,48.85,43.998645,1
0.001671457,12,46.002888,38,36.998598,20,1,48.85,43.998645,1
0.001714522,12,46.00289,38,36.998598,20,1,48.85,43.998645,1
0.001929846,12,46.002902,38,36.998598,20,1,48.85,43.998645,1
0.003006468,12,46.002958,38,36.998598,20,1,48.85,43.998645,1
0.00408309,12,46.003009,38,36.998598,20,1,48.85,43.998645,1
0.005159712,12,46.003059,38,36.998598,20,1,48.85,43.998645,1
0.007753836,12,46.003177,38,36.998598,20,1,48.85,43.998645,1
0.011918526,12,46.003368,38,36.998598,20,1,48.85,43.998645,1
0.020325869,12,46.003752,37.999999,36.998598,20,1,48.85,43.998646,1
0.037956126,12,46.004557,37.999998,36.998599,19.999999,1,48.850001,43.998648,1
0.084123671,12,46.006662,37.999996,36.9986,19.999995,1,48.850005,43.998651,1
0.18164515,12,46.011099,37.99999,36.998601,19.999978,1,48.850022,43.99866,1
0.44159515,12,46.022857,37.999976,36.998605,19.999874,1,48.850126,43.998684,1
0.70154515,12,46.034512,37.999961,36.998607,19.999685,1,48.850315,43.998712,1
1.100547,12,46.05221,37.999939,36.998611,19.999232,1,48.850768,43.998766,1
1.5862044,12,46.07344,37.999911,36.998616,19.998421,1,48.851579,43.99886,1
2.3893222,12,46.107817,37.999864,36.998626,19.996476,1,48.853524,43.999109,1
3.7278302,12,46.163156,37.999778,36.998656,19.991636,1,48.858364,43.999881,1
5.7128136,12,46.240987,37.999637,36.998759,19.981051,1,48.868949,44.002173,1
8.7705382,12,46.351899,37.999391,36.999204,19.957702,1,48.892298,44.009442,1
13.416496,12,46.502442,37.998999,37.001231,19.908782,1,48.941218,44.031935,1
20.390381,12,46.695698,37.998741,37.009973,19.813395,1,49.036605,44.095536,1
29.540771,12,46.904746,38.000707,37.037503,19.664941,1,49.185059,44.228343,1
38.69116,12,47.077718,38.008534,37.087783,19.506251,1,49.343749,44.39902,1
47.84155,12,47.225967,38.026559,37.161496,19.349343,1,49.500657,44.584444,1
56.991939,12,47.357191,38.058756,37.255444,19.200936,1,49.649064,44.767569,1
66.142329,12,47.476871,38.107645,37.364583,19.064341,1,49.785659,44.939427,1
75.292719,12,47.588981,38.173799,37.483695,18.940855,1,49.909145,45.097029,1
84.443108,12,47.69632,38.255991,37.608294,18.830656,1,50.019344,45.240806,1
93.593498,12,47.8007,38.351729,37.734967,18.733342,1,50.116658,45.372758,1
102.74389,12,47.903117,38.457917,37.861356,18.64824,1,50.20176,45.49533,1
111.89428,12,48.003936,38.571404,37.985991,18.574568,1,50.275432,45.610809,1
121.04467,12,48.103076,38.689362,38.108067,18.511521,1,50.338479,45.721047,1
130.19506,12,48.200193,38.809474,38.227226,18.458306,1,50.391694,45.827369,1
139.34545,12,48.294821,38.929984,38.34338,18.414155,1,50.435845,45.930596,1
148.49584,12,48.386488,39.049652,38.45657,18.378327,1,50.471673,46.031132,1
157.64623,12,48.474779,39.167664,38.566878,18.350107,1,50.499893,46.129067,1
166.79661,12,48.55938,39.283518,38.674365,18.328805,1,50.521195,46.224289,1
175.947,12,48.640083,39.396928,38.77905,18.313755,1,50.536245,46.316573,1
185.09739,12,48.716789,39.507734,38.8809,18.304318,1,50.545682,46.405663,1
194.24778,12,48.789485,39.615843,38.979843,18.299883,1,50.550117,46.491319,1
203.39817,12,48.858225,39.721186,39.075778,18.299874,1,50.550126,46.573351,1
212.54856,12,48.923115,39.823695,39.168591,18.303745,1,50.546255,46.65163,1
221.69895,12,48.98429,39.923292,39.258172,18.310994,1,50.539006,46.726096,1
