delta time[s],outdoor temperature[°C],flow temperature[°C],return flow temperature[°C],f-r diff[K],room temperature[°C],pump I/O,boiler heating temperature[°C],pressure[bar],drinking water temperature boiler[°C]
0,2,46.002512,38,8.0025123,20,1,48.85,1.01325,1
3.109131E-11,2,46.002512,38,8.0025122,20,1,48.85,1.0132507,1
4.974609E-11,2,46.002512,38,8.0025122,20,1,48.85,1.0132511,1
6.840087E-11,2,46.002512,38,8.0025121,20,1,48.85,1.0132515,1
7.679552E-11,2,46.002512,38,8.0025121,20,1,48.85,1.0132517,1
8.519017E-11,2,46.002512,38,8.0025121,20,1,48.85,1.0132519,1
9.358483E-11,2,46.002512,38,8.002512,20,1,48.85,1.0132521,1
1.199326E-10,2,46.002512,38,8.002512,20,1,48.85,1.0132527,1
1.462804E-10,2,46.002512,38,8.002512,20,1,48.85,1.0132532,1
1.726282E-10,2,46.002512,38,8.002512,20,1,48.85,1.0132538,1
1.98976E-10,2,46.002512,38,8.002512,20,1,48.85,1.0132544,1
2.823191E-10,2,46.002512,38,8.0025119,20,1,48.85,1.0132563,1
3.07322E-10,2,46.002512,38,8.0025119,20,1,48.85,1.0132568,1
3.32325E-10,2,46.002512,38,8.0025119,20,1,48.85,1.0132574,1
3.698293E-10,2,46.002512,38,8.0025119,20,1,48.85,1.0132582,1
4.073337E-10,2,46.002512,38,8.0025118,20,1,48.85,1.0132591,1
5.289942E-10,2,46.002512,38,8.0025118,20,1,48.85,1.0132618,1
6.506546E-10,2,46.002512,38,8.0025117,20,1,48.85,1.0132646,1
7.723151E-10,2,46.002512,38,8.0025116,20,1,48.85,1.0132673,1
0.000000001,2,46.002511,38,8.0025114,20,1,48.85,1.0132763,1
0.000000002,2,46.002511,38,8.0025112,20,1,48.85,1.0132902,1
0.000000002,2,46.002511,38,8.002511,20,1,48.85,1.0133044,1
0.000000004,2,46.002511,38,8.0025107,20,1,48.85,1.0133315,1
0.000000005,2,46.00251,38,8.0025104,20,1,48.85,1.013359,1
0.000000008,2,46.00251,38,8.0025096,20,1,48.85,1.0134426,1
0.000000011,2,46.002509,38,8.0025089,20,1,48.85,1.0135287,1
0.000000019,2,46.002507,38,8.0025074,20,1,48.85,1.0137302,1
0.000000027,2,46.002506,38,8.0025057,20,1,48.85,1.0139394,1
0.000000032,2,46.002504,38.000006,8.0024982,20,1,48.85,1.0140885,1
0.000000034,2,46.002504,38.000001,8.0025027,20,1,48.85,1.0141337,1
0.000000035,2,46.002503,38.000005,8.0024983,20,1,48.85,1.0141792,1
