date,value
1569888000,28.85
1569888302,28.55477
1569888607,27.694893
1569888980,27.652695
1569889305,27.671839
1569889614,27.686461
1569890049,27.706606
1569890614,27.732796
1569890926,27.747275
1569891323,27.76571
1569891662,27.780948
1569892005,27.790282
1569892570,27.80527
1569892971,27.816145
1569893372,27.827026
1569894153,27.848187
1569895200,27.876563
1569895634,27.872004
1569896056,27.865818
1569896695,27.857196
1569897511,27.846129
1569898640,27.830829
1569898985,27.829419
1569899314,27.835635
1569899841,27.843629
1569900781,27.857721
1569901944,27.875153
1569902400,27.881969
1569902824,27.879199
1569903292,27.87484
1569903961,27.86913
1569904853,27.861483
1569906000,27.85165
1569906851,27.853761
1569907419,27.855601
1569908492,27.858417
1569909248,27.860771
1569909600,27.861891
1569910354,27.861715
1569911136,27.861771
1569911918,27.861751
1569913033,27.861754
1569913426,27.859178
1569913882,27.850854
1569914221,27.845358
1569914560,27.839788
1569915101,27.830914
1569916012,27.815947
1569916800,27.803027
1569917359,27.798688
1569918478,27.790888
1569919597,27.782888
1569920400,27.777118
1569920721,27.761503
1569921084,27.739617
1569921648,27.707864
1569922179,27.67787
1569924000,27.575262
1569924313,27.54901
1569924723,27.511388
1569925116,27.476374
1569925509,27.441335
1569926423,27.359794
1569927600,27.254781
1569928145,27.223699
1569928767,27.18903
1569929124,27.169174
1569930240,27.107019
1569931200,27.053603
1569931534,27.05123
1569931860,27.052879
1569932409,27.05324
1569932836,27.053553
1569934286,27.054587
1569934800,27.05495
1569935229,27.040245
1569935816,27.01801
1569936581,26.989635
1569938400,26.922126
1569938775,26.886346
1569939176,26.84415
1569939788,26.781777
1569940421,26.717122
1569941595,26.597294
1569942000,26.555982
1569942532,26.530704
1569943106,26.504984
1569944083,26.461039
1569945048,26.417591
1569945600,26.392761
1569946394,26.361544
1569946897,26.341698
1569948163,26.291994
1569949099,26.255257
1569949475,26.251645
1569949876,26.258464
1569950423,26.265038
1569950886,26.270675
1569952178,26.286353
1569952800,26.293889
1569953187,26.299844
1569953963,26.3121
1569955127,26.330408
1569956400,26.350379
1569956847,26.35003
1569957406,26.347591
1569957966,26.346443
1569958657,26.344265
1569959348,26.342372
1569960000,26.340522
1569960798,26.340946
1569962396,26.342145
1569963600,26.343012
1569963947,26.346726
1569964578,26.355339
1569965304,26.364606
1569965861,26.371819
1569967200,26.389077
1569967616,26.423026
1569968076,26.464476
1569968781,26.526283
1569969590,26.597332
1569970780,26.701848
1569971395,26.762586
1569972585,26.881779
1569973775,27.000683
1569974400,27.063054
1569974715,27.073264
1569975042,27.077227
1569975502,27.08608
1569975874,27.093247
1569976641,27.108026
