date,value
1569888000,1.01325
1569888302,8.2627266
1569888607,9.4455415
1569888980,9.435327
1569889305,9.4495405
1569889614,9.4712326
1569890049,9.5018533
1569890614,9.5416842
1569890926,9.5638143
1569891323,9.5921032
1569891662,9.6161725
1569892005,9.6358118
1569892570,9.6596272
1569892971,9.6766045
1569893372,9.6935863
1569894153,9.7267545
1569895200,9.7714871
1569895634,9.7772777
1569896056,9.7684688
1569896695,9.7548781
1569897511,9.7375835
1569898640,9.7137505
1569898985,9.7077077
1569899314,9.7118279
1569899841,9.7243613
1569900781,9.7465543
1569901944,9.7741468
1569902400,9.7849712
1569902824,9.788029
1569903292,9.7817864
1569903961,9.7728278
1569904853,9.7608924
1569906000,9.7455713
1569906851,9.7446984
1569907419,9.747993
1569908492,9.7527792
1569909248,9.7562588
1569909600,9.7578922
1569910354,9.7591458
1569911136,9.7590898
1569911918,9.7592633
1569913033,9.7593417
1569913426,9.7580447
1569913882,9.7480407
1569914221,9.7392103
1569914560,9.7305574
1569915101,9.7167155
1569916012,9.6934571
1569916800,9.6734425
1569917359,9.6646615
1569918478,9.6511685
1569919597,9.6396997
1569920400,9.6310915
1569920721,9.6190086
1569921084,9.5894425
1569921648,9.540738
1569922179,9.4953361
1569924000,9.3422073
1569924313,9.3113491
1569924723,9.2591331
1569925116,9.2082082
1569925509,9.1578544
1569926423,9.0422507
1569927600,8.8965224
1569928145,8.8439037
1569928767,8.7974353
1569929124,8.7706945
1569930240,8.6879659
1569931200,8.6178294
1569931534,8.6020095
1569931860,8.6008675
1569932409,8.6015958
1569932836,8.6020115
1569934286,8.6034908
1569934800,8.6040193
1569935229,8.594904
1569935816,8.5667176
1569936581,8.5301701
1569938400,8.4441539
1569938775,8.414436
1569939176,8.3640671
1569939788,8.2866562
1569940421,8.2078262
1569941595,8.0647639
1569942000,8.0163425
1569942532,7.9723308
1569943106,7.9430623
1569944083,7.8927714
1569945048,7.8436545
1569945600,7.8158235
1569946394,7.7793598
1569946897,7.7576417
1569948163,7.7028887
1569949099,7.6629327
1569949475,7.6510879
1569949876,7.6541237
1569950423,7.6615244
1569950886,7.6676358
1569952178,7.6848121
