date,value
1569888000,20.002512
1569888302,27.160391
1569888607,27.562791
1569888980,27.546318
1569889305,27.55794
1569889614,27.571919
1569890049,27.591459
1569890614,27.616772
1569890926,27.630769
1569891323,27.648591
1569891662,27.663614
1569892005,27.675066
1569892570,27.689803
1569892971,27.700332
1569893372,27.710852
1569894153,27.731309
1569895200,27.758742
1569895634,27.760267
1569896056,27.754686
1569896695,27.746312
1569897511,27.735617
1569898640,27.720823
1569898985,27.717619
1569899314,27.721073
1569899841,27.728789
1569900781,27.742403
1569901944,27.759258
1569902400,27.765849
1569902824,27.766558
1569903292,27.762607
1569903961,27.757077
1569904853,27.749687
1569906000,27.740181
1569906851,27.740257
1569907419,27.742197
1569908492,27.745021
1569909248,27.74716
1569909600,27.748168
1569910354,27.748654
1569911136,27.748603
1569911918,27.748636
1569913033,27.748615
1569913426,27.747394
1569913882,27.740713
1569914221,27.735296
1569914560,27.729928
1569915101,27.721349
1569916012,27.706882
1569916800,27.694393
1569917359,27.689216
1569918478,27.680975
1569919597,27.673607
1569920400,27.668129
1569920721,27.658682
1569921084,27.639388
1569921648,27.608587
1569922179,27.579616
1569924000,27.480447
1569924313,27.458914
1569924723,27.423896
1569925116,27.389969
1569925509,27.356127
1569926423,27.277351
1569927600,27.175895
1569928145,27.140464
1569928767,27.10719
1569929124,27.08797
1569930240,27.027935
1569931200,26.976341
1569931534,26.966954
1569931860,26.966736
1569932409,26.9672
1569932836,26.967491
1569934286,26.968491
1569934800,26.968847
1569935229,26.960203
1569935816,26.939066
1569936581,26.911664
1569938400,26.846458
1569938775,26.820759
1569939176,26.781411
1569939788,26.721059
1569940421,26.658644
1569941595,26.542942
1569942000,26.50305
1569942532,26.469522
1569943106,26.444913
1569944083,26.402442
1569945048,26.360517
1569945600,26.336568
1569946394,26.305369
1569946897,26.286392
1569948163,26.238349
1569949099,26.20292
1569949475,26.194066
1569949876,26.197778
1569950423,26.204282
1569950886,26.209703
1569952178,26.224848
1569952800,26.232129
1569953187,26.237541
1569953963,26.249047
1569955127,26.266849
1569956400,26.28619
1569956847,26.288307
1569957406,26.286634
1569957966,26.285021
1569958657,26.283209
1569959348,26.281231
1569960000,26.279447
1569960798,26.279469
1569962396,26.280414
1569963600,26.281334
1569963947,26.283523
1569964578,26.291315
1569965304,26.300293
1569965861,26.30722
1569967200,26.323839
1569967616,26.345879
1569968076,26.384818
1569968781,26.444594
1569969590,26.513216
1569970780,26.614151
1569971395,26.671491
1569972585,26.785726
1569973775,26.901085
1569974400,26.961589
1569974715,26.98056
1569975042,26.987593
1569975502,26.996009
1569975874,27.002943
1569976641,27.017221
1569977661,27.036226
1569978000,27.042518
1569978324,27.046673
1569978972,27.053259
1569979620,27.058709
1569980572,27.067401
1569981524,27.075867
1569982058,27.087433
1569982975,27.11385
1569983640,27.134802
1569984466,27.159525
1569985200,27.181883
1569985554,27.195032
1569986143,27.221034
1569986659,27.243788
1569987175,27.266551
1569988407,27.320941
1569988800,27.33829
1569989167,27.364998
1569989593,27.407862
1569990246,27.473627
1569990933,27.542779
1569992058,27.656091
1569992400,27.690523
1569992804,27.743683
1569993498,27.853799
1569993923,27.920774
1569994348,27.987992
1569995407,28.155383
1569996000,28.248923
1569996387,28.291785
1569996798,28.319431
1569997135,28.342116
1569997471,28.364876
1569998553,28.438093
1569999600,28.508851
1570000006,28.519528
1570000415,28.516761
1570000920,28.513239
1570001365,28.510177
1570002092,28.505155
1570003200,28.497508
1570003661,28.488746
1570004132,28.475551
1570004603,28.46248
1570005204,28.445969
1570005806,28.429294
1570006565,28.408396
1570007142,28.385704
1570007828,28.347446
1570008324,28.316962
1570008939,28.280765
1570009554,28.244211
1570010400,28.193988
1570010940,28.165209
1570012021,28.109553
1570013103,28.054662
1570014000,28.008878
1570014413,27.99395
1570014895,27.982724
1570015246,27.974503
1570015596,27.966268
1570016376,27.947981
1570017600,27.919318
1570018680,27.887629
1570020840,27.822309
1570021200,27.811225
1570021548,27.786476
1570021853,27.752563
1570022362,27.694835
1570022860,27.638495
1570024259,27.480294
1570024800,27.419145
1570025171,27.39658
1570025703,27.39004
1570026325,27.382752
1570027234,27.372087
1570028144,27.361427
1570028472,27.35744
1570028851,27.347187
1570029413,27.327612
1570029773,27.315215
1570030345,27.295478
1570031384,27.259667
1570032000,27.238443
1570032813,27.231273
1570033356,27.2324
1570033898,27.232106
1570034441,27.232105
1570035240,27.232173
1570035600,27.232174
1570035965,27.252252
1570036287,27.286707
1570036773,27.339397
1570037222,27.388003
1570038770,27.555721
1570039200,27.602231
1570039649,27.644319
1570040548,27.723921
1570041448,27.801244
1570042800,27.919262
1570043155,27.943684
1570043653,27.969192
1570044088,27.991361
1570044522,28.013561
1570045493,28.063107
1570046400,28.109384
1570046955,28.139723
1570048065,28.201507
1570049412,28.276956
1570050000,28.309917
1570051465,28.389902
1570053600,28.506279
1570054391,28.531629
1570054919,28.54341
1570055447,28.556395
1570055974,28.569153
1570056751,28.587843
1570057200,28.598692
1570057532,28.602372
1570057931,28.601489
1570058467,28.600275
1570058852,28.599612
1570059332,28.600063
1570059660,28.603071
1570059984,28.612522
1570060399,28.654112
1570060701,28.732293
1570061113,28.832644
1570061548,29.032294
1570062129,29.237279
1570062652,29.354575
1570063493,29.432879
1570064335,29.400376
1570064807,29.343151
1570065132,29.292654
1570065695,29.188211
1570066662,28.975232
1570068160,28.612577
1570069658,28.263327
1570071156,27.963152
1570071600,27.88449
1570072210,27.785366
1570072890,27.680007
1570073754,27.553664
1570075200,27.36103
1570076040,27.260361
1570077722,27.067581
1570078800,26.953096
1570079175,26.893779
1570079482,26.831292
1570079789,27.53889
1570080146,28.026565
1570080581,28.254133
1570080952,28.300612
1570081287,28.311926
1570081623,28.317282
1570081969,28.321596
1570082400,28.326222
1570082830,28.329303
1570083309,28.332859
1570083823,28.336769
1570084506,28.341944
1570086000,28.353279
1570086816,28.362221
1570088450,28.381207
1570089600,28.394797
1570090062,28.393539
1570090724,28.385153
1570091153,28.379858
1570091838,28.371339
1570092986,28.357089
1570093393,28.350051
1570093779,28.333358
1570094328,28.307071
1570094666,28.29102
1570096174,28.219194
1570096800,28.189414
1570097207,28.169738
1570098213,28.120442
1570099219,28.071154
1570100400,28.01334
1570100981,27.97949
1570102144,27.908803
1570103306,27.836938
1570104000,27.794381
1570104779,27.751008
1570106337,27.665804
1570107600,27.597192
1570107971,27.586909
1570108364,27.585975
1570108924,27.584848
1570109572,27.583507
1570110660,27.581255
1570111200,27.580138
1570111525,27.585396
1570112015,27.603328
1570112433,27.618911
1570112850,27.634457
1570113608,27.662686
1570114554,27.697922
1570114924,27.710331
1570115243,27.707194
1570115712,27.694696
1570116364,27.677619
1570117354,27.651682
1570118343,27.625751
1570118684,27.621261
1570119254,27.619718
1570119824,27.621444
1570120651,27.62226
1570121294,27.623236
1570122000,27.624292
1570122501,27.63464
1570123277,27.659991
1570123651,27.672067
1570124486,27.699166
1570125600,27.735266
1570126121,27.745986
1570127006,27.758052
1570127443,27.764113
1570128928,27.78457
1570129645,27.796154
1570130535,27.812986
1570131708,27.835881
1570132800,27.857038
1570133172,27.868275
1570133602,27.885929
1570134031,27.903915
1570134750,27.933554
1570135315,27.956985
1570136243,27.995397
1570136913,28.027186
1570137940,28.080361
1570138966,28.134637
1570140000,28.18882
1570140564,28.214119
1570140890,28.227511
1570141494,28.252537
1570142098,28.277549
1570143600,28.339698
1570144056,28.344363
1570144649,28.337588
1570145420,28.329119
1570146440,28.317861
1570147200,28.309474
1570148007,28.302802
1570149622,28.290389
1570150800,28.28156
1570151250,28.279609
1570152152,28.276782
1570153386,28.273592
1570154400,28.270907
1570154802,28.278871
1570155340,28.300626
1570155834,28.320339
1570156186,28.334428
1570157061,28.369476
1570158000,28.407025
1570159069,28.461097
1570161207,28.572829
1570161600,28.593673
1570162128,28.615466
1570163024,28.646848
1570163483,28.663019
1570165200,28.723437
1570165647,28.742559
1570166541,28.783169
1570167435,28.824952
1570168800,28.88789
1570169105,28.894369
1570169744,28.887834
1570170447,28.880083
1570171336,28.870257
1570172400,28.858516
1570172791,28.843912
1570173208,28.818882
1570173791,28.783856
1570175107,28.704802
1570176000,28.651217
1570176466,28.61035
1570177072,28.54622
1570177480,28.50314
1570178212,28.425852
1570179600,28.279429
1570180036,28.236877
1570180908,28.15424
1570182023,28.050144
1570183200,27.939755
1570183696,27.907989
1570184235,27.884259
1570184564,27.869422
1570185160,27.842724
1570186047,27.802966
1570186800,27.769203
1570187263,27.754676
1570187881,27.741216
1570188254,27.732962
1570188889,27.718949
1570189894,27.696755
1570190400,27.685603
1570190846,27.687487
1570191332,27.699196
1570191642,27.706445
1570192101,27.717213
1570193173,27.74235
1570194000,27.761744
1570195758,27.808472
1570197600,27.857721
1570197956,27.859254
1570198360,27.851337
1570198660,27.84528
1570198960,27.839287
1570199671,27.825076
1570200858,27.801318
1570201200,27.794493
1570202280,27.762128
1570204440,27.694006
1570204800,27.682308
1570205229,27.68487
1570205675,27.700547
1570206363,27.724229
1570207575,27.766069
1570208400,27.7945
1570208809,27.821046
1570209425,27.876445
1570209742,27.904895
1570210299,27.954833
1570212000,28.107351
1570212314,28.130272
1570212848,28.15818
1570213342,28.183705
1570213835,28.209265
1570215026,28.270843
1570215600,28.300528
1570216115,28.312227
1570216774,28.316085
1570217094,28.318118
1570217912,28.323177
1570219088,28.330496
1570222309,28.356566
1570222800,28.360577
1570223468,28.360224
1570223845,28.358498
1570224649,28.355233
1570225264,28.352657
1570226400,28.347955
1570227817,28.355044
1570230000,28.367906
1570230801,28.383588
1570232404,28.418413
1570233600,28.445151
1570234064,28.450565
1570234741,28.453688
1570235160,28.455734
1570235888,28.45924
1570236993,28.464583
1570237791,28.465992
1570238973,28.465482
1570240156,28.464455
1570240800,28.46389
1570241225,28.460789
1570242075,28.452188
1570242925,28.442347
1570244400,28.426275
1570245231,28.420312
1570246894,28.40976
1570248000,28.403031
1570248347,28.403882
1570248959,28.411026
1570249614,28.418669
1570250135,28.424784
1570251600,28.441984
1570252095,28.450214
1570253086,28.468235
1570254360,28.492276
1570255200,28.508084
1570255576,28.515737
1570256206,28.53051
1570256836,28.545352
1570257892,28.570066
1570258800,28.591394
1570259275,28.597209
1570259941,28.600264
1570260350,28.60226
1570261072,28.605743
1570262146,28.610932
1570262973,28.604941
1570264119,28.584913
1570264973,28.568154
1570266000,28.549103
1570266311,28.539337
1570266762,28.517486
1570267227,28.494685
1570267691,28.471958
1570269218,28.397124
1570269600,28.378436
1570270058,28.365863
1570270974,28.34739
1570271890,28.332184
1570273091,28.309907
1570274119,28.281195
1570275958,28.223483
1570276800,28.196283
1570277692,28.160528
1570279477,28.085887
1570280400,28.046735
1570280725,28.035813
1570281377,28.016345
1570282169,27.994485
1570283483,27.957035
1570284000,27.94229
1570284820,27.906032
1570286460,27.827785
1570287600,27.772169
1570288343,27.724185
1570289831,27.622589
1570291200,27.52757
1570291533,27.520817
1570291956,27.533726
1570292544,27.552861
1570293266,27.576296
1570294423,27.613795
1570294800,27.625983
1570295179,27.648621
1570295672,27.690451
1570296035,27.721264
1570296499,27.760611
1570298340,27.916854
1570298736,27.943718
1570299283,27.966901
1570299772,27.98749
1570300262,28.008093
1570301284,28.051113
1570302000,28.081198
1570302383,28.103404
1570302993,28.147716
1570303450,28.180834
1570304023,28.222321
1570305174,28.305696
1570305600,28.336558
1570306234,28.377858
1570307504,28.458086
1570308773,28.537441
1570309200,28.564066
1570309604,28.585466
1570310413,28.624677
1570311222,28.661955
1570312522,28.723343
1570313189,28.750209
1570313969,28.774453
1570314749,28.796986
1570316053,28.836048
1570316400,28.846477
1570316851,28.868951
1570317510,28.911919
1570317957,28.94084
1570318672,28.987258
1570320000,29.07341
1570320424,29.093365
1570320964,29.111085
1570321372,29.124621
