date,value
1569888000,20.0
1569888302,14.698559
1569888607,14.689082
1569888980,14.677481
1569889305,14.667388
1569889614,14.657804
1569890049,14.644273
1569890614,14.626717
1569890926,14.617008
1569891323,14.604641
1569891662,14.594876
1569892005,14.588642
1569892570,14.578356
1569892971,14.571052
1569893372,14.563749
1569894153,14.549532
1569895200,14.530464
1569895634,14.534368
1569896056,14.538218
1569896695,14.544035
1569897511,14.551463
1569898640,14.561744
1569898985,14.561372
1569899314,14.558057
1569899841,14.552758
1569900781,14.543293
1569901944,14.531581
1569902400,14.527001
1569902824,14.529407
1569903292,14.532102
1569903961,14.53595
1569904853,14.54108
1569906000,14.547673
1569906851,14.54606
1569907419,14.544971
1569908492,14.542912
1569909248,14.541462
1569909600,14.540789
1569910354,15.090934
1569911136,15.666508
1569911918,16.24588
1569913033,17.078143
1569913426,17.206992
1569913882,17.212171
1569914221,17.215946
1569914560,17.219862
1569915101,17.225933
1569916012,17.236344
1569916800,17.245321
1569917359,17.248012
1569918478,17.253529
1569919597,17.259046
1569920400,17.263005
1569920721,17.275445
1569921084,17.289584
1569921648,17.311531
1569922179,17.332209
1569924000,17.402942
1569924313,17.422165
1569924723,17.447334
1569925116,17.471442
1569925509,17.495542
1569926423,17.551534
1569927600,17.623563
1569928145,17.644408
1569928767,17.668143
1569929124,17.68174
1569930240,17.724271
1569931200,17.760772
1569931534,17.760692
1569931860,17.760532
1569932409,17.760264
1569932836,17.76005
1569934286,17.759348
1569934800,17.759102
1569935229,17.769943
1569935816,17.784815
1569936581,17.804201
1569938400,17.850257
1569938775,17.876309
1569939176,17.904213
1569939788,17.946726
1569940421,17.990673
1569941595,18.072048
1569942000,18.100074
1569942532,18.116374
1569943106,18.133869
1569944083,18.163635
1569945048,18.193014
1569945600,18.209783
1569946394,18.230898
1569946897,18.244253
1569948163,18.277827
1569949099,18.302629
1569949475,18.303112
1569949876,18.299827
1569950423,18.295345
1569950886,18.29156
1569952178,18.280964
1569952800,18.275871
1569953187,18.271765
1569953963,18.263538
1569955127,18.251186
1569956400,18.237677
1569956847,18.238514
1569957406,18.239595
1569957966,18.240674
1569958657,18.242009
1569959348,18.243342
1569960000,18.2446
1569960798,18.244219
1569962396,18.243448
1569963600,18.242867
1569963947,18.239868
1569964578,18.234385
1569965304,18.228082
1569965861,18.223236
1569967200,18.211608
1569967616,18.186944
1569968076,18.159633
1569968781,18.117704
1569969590,18.069517
1569970780,17.998556
1569971395,17.509059
1569972585,16.537029
1569973775,15.575102
1569974400,15.074208
1569974715,15.068643
1569975042,15.064451
1569975502,15.058567
1569975874,15.053733
1569976641,15.043994
1569977661,15.030858
1569978000,15.026483
1569978324,15.024554
1569978972,15.02056
1569979620,15.016564
1569980572,15.010694
1569981524,15.004821
1569982058,14.994814
1569982975,14.975666
1569983640,14.961781
1569984466,14.944506
1569985200,14.929175
1569985554,14.918417
1569986143,14.900484
1569986659,14.884787
1569987175,14.869082
1569988407,14.831545
1569988800,14.819567
1569989167,14.794096
1569989593,14.764397
1569990246,14.718916
1569990933,14.671023
1569992058,14.592444
1569992400,14.56854
1569992804,14.524257
1569993498,14.447927
1569993923,14.40114
1569994348,14.354309
1569995407,14.237376
1569996000,14.171889
1569996387,14.43394
1569996798,14.714182
1569997135,14.944128
1569997471,15.174324
1569998553,15.920571
1569999600,16.647012
1570000006,16.650442
1570000415,16.652489
1570000920,16.655017
1570001365,16.657377
1570002092,16.66087
1570003200,16.666361
1570003661,16.675656
1570004132,16.685051
1570004603,16.694448
1570005204,16.706453
1570005806,16.718459
1570006565,16.733587
1570007142,16.752919
1570007828,16.782298
1570008324,16.803521
1570008939,16.829851
1570009554,16.856168
1570010400,16.892305
1570010940,16.91219
1570012021,16.951913
1570013103,16.991603
1570014000,17.024504
1570014413,17.031511
1570014895,17.039632
1570015246,17.045538
1570015596,17.05144
1570016376,17.064574
1570017600,17.085163
1570018680,17.108658
1570020840,17.155645
1570021200,17.163474
1570021548,17.191615
1570021853,17.216254
1570022362,17.257449
1570022860,17.297725
1570024259,17.410586
1570024800,17.454136
1570025171,17.457398
1570025703,17.461824
1570026325,17.467016
1570027234,17.474614
1570028144,17.482192
1570028472,17.486083
1570028851,17.495367
1570029413,17.509155
1570029773,17.517991
1570030345,17.532015
1570031384,17.557463
1570032000,17.572541
1570032813,17.572588
1570033356,17.572587
1570033898,17.572588
1570034441,17.572587
1570035240,17.572588
1570035600,17.572588
1570035965,17.544623
1570036287,17.519804
1570036773,17.482438
1570037222,17.447855
1570038770,17.328298
1570039200,17.29509
1570039649,17.267156
1570040548,17.211263
1570041448,17.155303
1570042800,17.071064
1570043155,17.057981
1570043653,17.039723
1570044088,17.023794
1570044522,17.007865
1570045493,16.972242
1570046400,16.938949
1570046955,16.916631
1570048065,16.871941
1570049412,16.817697
1570050000,16.79399
1570051465,16.736293
